Image File,Prediction (grid_based),Prediction (object_detection),Prediction (lime_on_image),Prediction (lime_on_latent),Prediction (lime_on_latent_nun)
town7_005168.png,GO,GO,GO,GO,RIGHT
town7_005206.png,GO,STOP,STOP,STOP,GO
town7_005207.png,GO,GO,STOP,GO,GO
town7_005212.png,STOP,GO,STOP,GO,GO
town7_005235.png,GO,GO,GO,GO,STOP
town7_005236.png,GO,GO,GO,GO,STOP
town7_005237.png,GO,GO,GO,GO,STOP
town7_005243.png,GO,GO,GO,GO,LEFT
town7_005244.png,GO,GO,GO,GO,LEFT
town7_005245.png,GO,GO,GO,GO,LEFT
town7_005246.png,GO,GO,GO,GO,LEFT
town7_005313.png,GO,GO,GO,GO,LEFT
town7_005367.png,GO,GO,GO,GO,LEFT
town7_005369.png,GO,GO,GO,GO,LEFT
town7_005380.png,GO,GO,GO,GO,RIGHT
town7_005411.png,GO,GO,GO,GO,RIGHT
town7_005415.png,GO,GO,GO,GO,LEFT
town7_005435.png,GO,GO,GO,GO,RIGHT
town7_005437.png,GO,GO,GO,GO,RIGHT
town7_005449.png,GO,GO,GO,GO,LEFT
town7_005453.png,GO,GO,GO,GO,LEFT
town7_005455.png,GO,GO,GO,GO,LEFT
town7_005456.png,GO,GO,GO,GO,LEFT
town7_005460.png,GO,GO,GO,GO,RIGHT
town7_005508.png,GO,GO,GO,GO,RIGHT
town7_005588.png,GO,GO,GO,GO,LEFT
town7_005593.png,GO,GO,GO,GO,LEFT
town7_005650.png,GO,GO,GO,GO,STOP
town7_005661.png,GO,GO,GO,GO,LEFT
town7_005811.png,GO,GO,GO,GO,RIGHT
town7_005812.png,GO,GO,GO,GO,RIGHT
town7_005850.png,GO,GO,GO,GO,STOP
town7_005867.png,GO,GO,GO,GO,STOP
town7_005870.png,GO,GO,GO,GO,RIGHT
town7_005875.png,GO,GO,GO,GO,RIGHT
town7_005877.png,GO,GO,GO,GO,RIGHT
town7_005880.png,GO,GO,GO,GO,RIGHT
town7_005952.png,GO,GO,GO,GO,RIGHT
town7_005955.png,GO,GO,GO,GO,RIGHT
town7_005995.png,GO,GO,GO,GO,RIGHT
town7_006030.png,GO,GO,GO,GO,RIGHT
town7_006042.png,GO,GO,GO,GO,LEFT
town7_006049.png,GO,GO,GO,GO,LEFT
town7_006055.png,GO,GO,GO,GO,LEFT
town7_006058.png,GO,GO,GO,GO,LEFT
town7_006059.png,GO,GO,GO,GO,LEFT
town7_006060.png,GO,GO,GO,GO,LEFT
town7_006072.png,GO,GO,GO,GO,RIGHT
town7_006084.png,GO,GO,GO,GO,RIGHT
town7_006086.png,GO,GO,GO,GO,RIGHT
town7_006150.png,GO,GO,GO,GO,RIGHT
town7_006152.png,GO,GO,GO,GO,RIGHT
town7_006163.png,GO,GO,GO,GO,RIGHT
town7_006168.png,GO,GO,GO,GO,RIGHT
town7_006178.png,GO,GO,GO,GO,LEFT
town7_006181.png,GO,GO,GO,GO,LEFT
town7_006184.png,GO,GO,GO,GO,LEFT
town7_006203.png,GO,GO,GO,GO,RIGHT
town7_006215.png,GO,GO,GO,GO,RIGHT
town7_006218.png,GO,GO,GO,GO,RIGHT
town7_006245.png,GO,GO,GO,GO,LEFT
town7_006247.png,GO,GO,GO,GO,LEFT
town7_006256.png,GO,GO,GO,GO,RIGHT
town7_006258.png,GO,GO,GO,GO,RIGHT
town7_006263.png,GO,GO,GO,GO,RIGHT
town7_006265.png,GO,GO,GO,GO,RIGHT
town7_006270.png,STOP,STOP,STOP,STOP,GO
town7_006279.png,GO,GO,GO,GO,LEFT
town7_006281.png,GO,GO,GO,GO,LEFT
town7_006286.png,GO,GO,GO,GO,RIGHT
town7_006287.png,GO,GO,GO,GO,RIGHT
town7_006293.png,GO,GO,GO,GO,RIGHT
town7_006296.png,GO,GO,GO,GO,RIGHT
town7_006299.png,GO,GO,GO,GO,RIGHT
town7_006300.png,GO,GO,GO,GO,RIGHT
town7_006305.png,GO,GO,GO,GO,RIGHT
town7_006312.png,GO,GO,GO,GO,STOP
town7_006315.png,GO,GO,GO,GO,RIGHT
town7_006316.png,GO,GO,GO,GO,RIGHT
town7_006327.png,GO,GO,GO,GO,RIGHT
town7_006333.png,GO,GO,GO,GO,RIGHT
town7_006363.png,GO,STOP,GO,STOP,GO
town7_006390.png,GO,GO,GO,GO,RIGHT
town7_006392.png,GO,GO,GO,GO,RIGHT
town7_006401.png,GO,GO,GO,GO,RIGHT
town7_006526.png,STOP,GO,GO,GO,STOP
town7_006537.png,GO,GO,GO,GO,RIGHT
town7_006538.png,GO,GO,GO,GO,RIGHT
town7_006539.png,GO,GO,GO,GO,RIGHT
town7_006545.png,GO,GO,GO,GO,RIGHT
town7_006548.png,GO,GO,GO,GO,RIGHT
town7_006558.png,GO,GO,GO,GO,RIGHT
town7_006586.png,GO,GO,GO,GO,RIGHT
town7_006592.png,GO,GO,GO,GO,LEFT
town7_006619.png,GO,GO,GO,GO,RIGHT
town7_006622.png,GO,GO,GO,GO,RIGHT
town7_006706.png,GO,GO,GO,GO,LEFT
town7_006711.png,GO,GO,GO,GO,RIGHT
town7_006726.png,STOP,STOP,GO,GO,GO
town7_006833.png,GO,GO,GO,GO,RIGHT
town7_006834.png,GO,GO,GO,GO,RIGHT
town7_006842.png,GO,GO,GO,GO,LEFT
town7_006866.png,GO,STOP,STOP,STOP,STOP
town7_006880.png,STOP,STOP,STOP,STOP,RIGHT
town7_006883.png,STOP,STOP,STOP,STOP,RIGHT
town7_006891.png,GO,GO,GO,GO,RIGHT
town7_006892.png,GO,GO,GO,GO,RIGHT
town7_006893.png,GO,GO,GO,GO,RIGHT
town7_006895.png,GO,GO,GO,GO,LEFT
town7_006960.png,GO,GO,GO,GO,RIGHT
town7_006962.png,GO,GO,GO,GO,RIGHT
town7_006965.png,GO,GO,GO,GO,RIGHT
town7_006973.png,GO,GO,GO,GO,LEFT
town7_006980.png,GO,GO,GO,GO,RIGHT
town7_007021.png,GO,GO,GO,GO,RIGHT
town7_007022.png,GO,GO,GO,GO,RIGHT
town7_007024.png,STOP,GO,STOP,GO,GO
town7_007068.png,GO,GO,GO,GO,LEFT
town7_007070.png,GO,GO,GO,GO,LEFT
town7_007129.png,GO,GO,GO,GO,RIGHT
town7_007131.png,GO,GO,GO,GO,RIGHT
town7_007132.png,GO,GO,GO,GO,RIGHT
town7_007162.png,STOP,STOP,STOP,STOP,GO
town7_007166.png,GO,STOP,STOP,GO,STOP
town7_007189.png,GO,GO,GO,GO,RIGHT
town7_007198.png,GO,GO,GO,GO,RIGHT
town7_007467.png,GO,GO,GO,GO,LEFT
town7_007487.png,GO,GO,GO,GO,STOP
town7_007488.png,GO,STOP,GO,GO,STOP
town7_007506.png,GO,GO,GO,GO,RIGHT
town7_007507.png,GO,GO,GO,GO,RIGHT
town7_007508.png,GO,GO,GO,GO,RIGHT
town7_007570.png,GO,GO,GO,GO,LEFT
town7_007573.png,GO,GO,GO,GO,LEFT
town7_007574.png,GO,GO,GO,GO,LEFT
town7_007599.png,GO,GO,GO,GO,LEFT
town7_007600.png,GO,GO,GO,GO,LEFT
town7_007608.png,GO,GO,GO,GO,LEFT
town7_007610.png,GO,GO,GO,GO,RIGHT
town7_007737.png,GO,GO,GO,GO,LEFT
town7_007742.png,GO,GO,GO,GO,LEFT
town7_007756.png,GO,GO,GO,GO,LEFT
town7_007759.png,GO,GO,GO,GO,LEFT
town7_007868.png,GO,GO,GO,GO,LEFT
town7_007878.png,GO,GO,GO,GO,RIGHT
town7_007880.png,GO,GO,GO,GO,RIGHT
town7_007882.png,GO,GO,GO,GO,LEFT
town7_007883.png,GO,GO,GO,GO,LEFT
town7_007885.png,GO,GO,GO,GO,LEFT
town7_007891.png,GO,GO,GO,GO,LEFT
town7_007902.png,GO,GO,GO,GO,LEFT
town7_007907.png,GO,GO,GO,GO,LEFT
town7_007909.png,GO,GO,GO,GO,LEFT
town7_007913.png,GO,GO,GO,GO,LEFT
town7_007915.png,GO,GO,GO,GO,LEFT
town7_008013.png,GO,GO,GO,GO,RIGHT
town7_008018.png,GO,GO,GO,GO,LEFT
town7_008019.png,GO,GO,GO,GO,LEFT
town7_008025.png,GO,GO,GO,GO,LEFT
town7_008026.png,GO,GO,GO,GO,LEFT
town7_008027.png,GO,GO,GO,GO,LEFT
town7_008028.png,GO,GO,GO,GO,LEFT
town7_008032.png,GO,GO,GO,GO,RIGHT
town7_008033.png,GO,GO,GO,GO,RIGHT
town7_008035.png,GO,GO,GO,GO,RIGHT
town7_008037.png,GO,GO,GO,GO,RIGHT
town7_008067.png,GO,GO,GO,GO,LEFT
town7_008089.png,GO,GO,GO,GO,RIGHT
town7_008122.png,GO,GO,GO,GO,LEFT
town7_008126.png,GO,GO,GO,GO,LEFT
town7_008128.png,GO,GO,GO,GO,LEFT
town7_008287.png,GO,GO,GO,GO,LEFT
town7_008292.png,GO,GO,GO,GO,LEFT
town7_008293.png,GO,GO,GO,GO,LEFT
town7_008294.png,GO,GO,GO,GO,LEFT
town7_008300.png,GO,GO,GO,GO,LEFT
town7_008301.png,GO,GO,GO,GO,LEFT
town7_008346.png,GO,GO,GO,GO,RIGHT
town7_008349.png,GO,GO,GO,GO,RIGHT
town7_008352.png,GO,GO,GO,GO,RIGHT
town7_008355.png,GO,GO,GO,GO,RIGHT
town7_008480.png,GO,GO,GO,GO,RIGHT
town7_008559.png,STOP,GO,STOP,STOP,GO
town7_008583.png,STOP,STOP,STOP,STOP,GO
town7_008704.png,GO,GO,GO,GO,LEFT
town7_008741.png,STOP,GO,STOP,GO,GO
town7_008831.png,GO,GO,GO,GO,LEFT
town7_008836.png,GO,GO,GO,GO,LEFT
town7_008841.png,GO,GO,GO,GO,LEFT
town7_008842.png,GO,GO,GO,GO,LEFT
town7_008843.png,GO,GO,GO,GO,LEFT
town7_008853.png,GO,GO,GO,GO,LEFT
town7_008854.png,GO,GO,GO,GO,LEFT
town7_008909.png,GO,GO,GO,GO,RIGHT
town7_008915.png,GO,GO,GO,GO,RIGHT
town7_008920.png,GO,GO,GO,GO,LEFT
town7_008922.png,GO,GO,GO,GO,LEFT
town7_008928.png,GO,GO,GO,GO,LEFT
town7_008932.png,GO,GO,GO,GO,LEFT
town7_008933.png,GO,GO,GO,GO,LEFT
town7_008940.png,STOP,GO,GO,STOP,LEFT
town7_008943.png,GO,GO,STOP,STOP,LEFT
town7_008946.png,GO,GO,GO,GO,LEFT
town7_008950.png,GO,GO,GO,GO,LEFT
town7_008952.png,GO,GO,GO,GO,LEFT
town7_009050.png,GO,GO,GO,GO,RIGHT
town7_009058.png,GO,GO,GO,GO,LEFT
town7_009063.png,GO,GO,GO,GO,LEFT
town7_009068.png,GO,GO,GO,GO,LEFT
town7_009070.png,GO,GO,GO,GO,RIGHT
town7_009074.png,GO,GO,GO,GO,RIGHT
town7_009078.png,GO,GO,GO,GO,RIGHT
town7_009088.png,GO,GO,GO,GO,RIGHT
town7_009104.png,GO,GO,GO,GO,LEFT
town7_009105.png,GO,GO,GO,GO,LEFT
town7_009106.png,GO,GO,GO,GO,LEFT
town7_009115.png,GO,GO,GO,GO,LEFT
town7_009127.png,GO,GO,GO,GO,RIGHT
town7_009152.png,GO,GO,GO,GO,LEFT
town7_009153.png,GO,GO,GO,GO,LEFT
town7_009158.png,GO,GO,GO,GO,LEFT
town7_009163.png,GO,GO,GO,GO,LEFT
town7_009166.png,GO,GO,GO,GO,LEFT
town7_009333.png,GO,GO,GO,GO,LEFT
town7_009349.png,GO,GO,GO,GO,RIGHT
town7_009353.png,GO,GO,GO,GO,LEFT
town7_009358.png,GO,GO,GO,GO,LEFT
town7_009361.png,GO,GO,GO,GO,LEFT
town7_009362.png,GO,GO,GO,GO,LEFT
town7_009364.png,GO,GO,GO,GO,LEFT
town7_009376.png,GO,GO,GO,GO,RIGHT
town7_009383.png,GO,GO,GO,GO,RIGHT
town7_009385.png,GO,GO,GO,GO,RIGHT
town7_009389.png,GO,GO,GO,GO,RIGHT
town7_009397.png,GO,GO,GO,GO,RIGHT
town7_009411.png,GO,GO,GO,GO,LEFT
town7_009416.png,GO,GO,GO,GO,LEFT
town7_009429.png,GO,GO,GO,GO,LEFT
town7_009434.png,GO,GO,GO,GO,LEFT
town7_009435.png,GO,GO,GO,GO,LEFT
town7_009554.png,STOP,STOP,STOP,STOP,GO
town7_009556.png,STOP,STOP,STOP,STOP,GO
town7_009576.png,STOP,STOP,STOP,STOP,GO
town7_009588.png,GO,GO,GO,GO,LEFT
town7_009592.png,GO,GO,GO,GO,LEFT
town7_009645.png,GO,GO,GO,GO,RIGHT
town7_009646.png,GO,GO,GO,GO,RIGHT
town7_009648.png,GO,GO,GO,GO,RIGHT
town7_009650.png,GO,GO,GO,GO,RIGHT
town7_009720.png,GO,GO,GO,GO,LEFT
town7_009808.png,GO,GO,GO,GO,RIGHT
town7_009809.png,GO,GO,GO,GO,RIGHT
town7_009810.png,GO,GO,GO,GO,RIGHT
town7_009812.png,GO,GO,GO,GO,RIGHT
town7_009860.png,STOP,GO,STOP,GO,GO
town7_009885.png,STOP,GO,STOP,STOP,STOP
town7_010084.png,GO,GO,GO,GO,RIGHT
town7_010093.png,GO,GO,GO,GO,RIGHT
town7_010095.png,GO,GO,GO,GO,RIGHT
town7_010096.png,GO,GO,GO,GO,RIGHT
town7_010190.png,GO,GO,GO,GO,RIGHT
town7_010194.png,GO,GO,GO,GO,RIGHT
town7_010200.png,GO,GO,GO,GO,LEFT
town7_010423.png,STOP,GO,GO,STOP,GO
town7_010427.png,GO,GO,GO,GO,RIGHT
town7_010428.png,GO,GO,GO,GO,RIGHT
town7_010501.png,GO,GO,GO,GO,STOP
town7_010701.png,GO,GO,GO,GO,RIGHT
town7_010706.png,GO,GO,GO,GO,RIGHT
town7_010708.png,GO,GO,GO,GO,RIGHT
town7_010711.png,GO,GO,GO,GO,RIGHT
town7_010809.png,GO,GO,GO,GO,RIGHT
town7_010812.png,GO,GO,GO,GO,RIGHT
town7_010814.png,GO,GO,GO,GO,RIGHT
town7_010978.png,GO,GO,GO,GO,RIGHT
town7_010982.png,GO,GO,GO,GO,RIGHT
town7_010983.png,GO,GO,GO,GO,LEFT
town7_011020.png,GO,GO,GO,GO,RIGHT
town7_011092.png,STOP,STOP,STOP,GO,GO
town7_011105.png,STOP,STOP,STOP,GO,STOP
town7_011107.png,STOP,STOP,GO,GO,STOP
town7_011108.png,STOP,GO,STOP,STOP,STOP
town7_011112.png,GO,STOP,STOP,STOP,STOP
town7_011124.png,GO,GO,GO,GO,STOP
town7_011125.png,GO,GO,GO,GO,STOP
town7_011161.png,GO,GO,GO,GO,LEFT
town7_011165.png,GO,GO,GO,GO,LEFT
town7_011179.png,STOP,GO,STOP,STOP,GO
town7_011184.png,GO,GO,GO,GO,RIGHT
town7_011187.png,GO,GO,GO,GO,LEFT
town7_011201.png,GO,GO,GO,GO,LEFT
town7_011202.png,GO,GO,GO,GO,LEFT
town7_011204.png,GO,GO,GO,GO,LEFT
town7_011205.png,GO,GO,GO,GO,LEFT
town7_011313.png,STOP,STOP,STOP,STOP,GO
town7_011340.png,GO,GO,GO,GO,RIGHT
town7_011342.png,GO,GO,GO,GO,RIGHT
town7_011386.png,GO,STOP,GO,GO,STOP
town7_011400.png,GO,GO,GO,GO,RIGHT
town7_011401.png,GO,GO,GO,GO,RIGHT
