Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Features Replaced,Feature Selection (%),Sparsity,Proximity,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s)
town7_000128.png,STOP,"[0.60969, 0.39031]",GO,"[0.44878, 0.55122]",True,2.0,1.56%,2.0,0.57353,0.7218,127.19552,27.08609,0.98316,0.3087,0.43962
town7_000129.png,STOP,"[0.58989, 0.41011]",GO,"[0.4838, 0.5162]",True,12.0,9.38%,12.0,1.26811,0.7176,130.90146,26.96136,0.98201,0.30721,0.23265
town7_000130.png,STOP,"[0.61156, 0.38844]",GO,"[0.4973, 0.5027]",True,1.0,0.78%,1.0,0.28858,0.71847,130.69044,26.96837,0.98166,0.3102,0.25096
town7_000139.png,STOP,"[0.54355, 0.45645]",GO,"[0.45285, 0.54715]",True,3.0,2.34%,3.0,1.02719,0.72988,125.64078,27.1395,0.98263,0.31372,0.24968
town7_000140.png,STOP,"[0.57996, 0.42004]",GO,"[0.47383, 0.52617]",True,1.0,0.78%,1.0,0.07718,0.7246,126.81656,27.09904,0.98294,0.30267,0.26726
town7_000141.png,STOP,"[0.53296, 0.46704]",GO,"[0.45189, 0.54811]",True,1.0,0.78%,1.0,0.09965,0.73802,110.43951,27.69956,0.982,0.30495,0.27156
town7_000144.png,GO,"[0.48696, 0.51304]",STOP,"[0.54936, 0.45064]",True,108.0,84.38%,108.0,5.16727,0.70755,168.88021,25.85502,0.96746,0.27192,0.45954
town7_000146.png,GO,"[0.35698, 0.64302]",STOP,"[0.50917, 0.49083]",True,75.0,58.59%,75.0,4.3034,0.71704,165.30547,25.94793,0.96957,0.29294,0.62196
town7_000154.png,GO,"[0.32145, 0.67855]",GO,"[0.33919, 0.66081]",False,128.0,100.00%,,,,,,,,0.62067
town7_000156.png,GO,"[0.27052, 0.72948]",GO,"[0.28398, 0.71602]",False,128.0,100.00%,,,,,,,,0.45149
town7_000174.png,GO,"[0.32344, 0.67656]",GO,"[0.31368, 0.68632]",False,128.0,100.00%,,,,,,,,0.54238
town7_000179.png,GO,"[0.30314, 0.69686]",GO,"[0.29264, 0.70736]",False,128.0,100.00%,,,,,,,,0.46832
town7_000183.png,GO,"[0.3275, 0.6725]",GO,"[0.29769, 0.70231]",False,128.0,100.00%,,,,,,,,0.54656
town7_000189.png,GO,"[0.31739, 0.68261]",GO,"[0.31251, 0.68749]",False,128.0,100.00%,,,,,,,,0.5784
town7_000190.png,GO,"[0.30282, 0.69718]",GO,"[0.31111, 0.68889]",False,128.0,100.00%,,,,,,,,0.59377
town7_000191.png,GO,"[0.27385, 0.72615]",STOP,"[0.52485, 0.47515]",True,127.0,99.22%,127.0,10.36749,0.70978,380.34755,22.329,0.97121,0.23407,0.64702
town7_000204.png,GO,"[0.33696, 0.66304]",GO,"[0.35358, 0.64642]",False,128.0,100.00%,,,,,,,,0.5084
town7_000205.png,GO,"[0.33278, 0.66722]",STOP,"[0.5778, 0.4222]",True,96.0,75.00%,96.0,5.68415,0.80685,160.44221,26.07762,0.98685,0.33414,0.47742
town7_000215.png,GO,"[0.25066, 0.74934]",STOP,"[0.52797, 0.47203]",True,125.0,97.66%,125.0,8.30131,0.67876,281.37419,23.63796,0.97946,0.20579,0.47824
town7_000216.png,GO,"[0.23046, 0.76954]",GO,"[0.22765, 0.77235]",False,128.0,100.00%,,,,,,,,0.58157
town7_000218.png,GO,"[0.20297, 0.79703]",GO,"[0.22082, 0.77918]",False,128.0,100.00%,,,,,,,,0.62161
town7_000229.png,GO,"[0.31609, 0.68391]",GO,"[0.09581, 0.90419]",False,128.0,100.00%,,,,,,,,0.51762
town7_000238.png,GO,"[0.34557, 0.65443]",GO,"[0.25901, 0.74099]",False,128.0,100.00%,,,,,,,,0.55211
town7_000242.png,GO,"[0.33819, 0.66181]",GO,"[0.15065, 0.84935]",False,128.0,100.00%,,,,,,,,0.53887
town7_000246.png,GO,"[0.34109, 0.65891]",GO,"[0.10313, 0.89687]",False,128.0,100.00%,,,,,,,,0.5581
town7_000252.png,STOP,"[0.61643, 0.38357]",GO,"[0.44706, 0.55294]",True,8.0,6.25%,8.0,2.60734,0.79418,114.21958,27.5534,0.99322,0.29691,0.26122
town7_000260.png,STOP,"[0.81139, 0.18861]",GO,"[0.46299, 0.53701]",True,8.0,6.25%,8.0,2.39972,0.7989,181.42328,25.54387,0.99222,0.32846,0.13771
town7_000261.png,STOP,"[0.79037, 0.20963]",GO,"[0.46462, 0.53538]",True,2.0,1.56%,2.0,0.91751,0.80102,167.345,25.89468,0.99281,0.33617,0.26572
town7_000262.png,STOP,"[0.79814, 0.20186]",GO,"[0.43572, 0.56428]",True,2.0,1.56%,2.0,1.55266,0.79761,169.81953,25.83093,0.99271,0.33316,0.31258
town7_000263.png,STOP,"[0.80853, 0.19147]",GO,"[0.45585, 0.54415]",True,1.0,0.78%,1.0,0.86901,0.79705,171.23732,25.79482,0.99269,0.33566,0.2403
town7_000265.png,STOP,"[0.78867, 0.21133]",GO,"[0.48264, 0.51736]",True,4.0,3.12%,4.0,1.80688,0.79385,174.25797,25.71888,0.9926,0.33243,0.26498
town7_000269.png,STOP,"[0.82665, 0.17335]",GO,"[0.30346, 0.69654]",True,8.0,6.25%,8.0,2.54135,0.79264,182.0256,25.52948,0.99225,0.32534,0.28434
town7_000273.png,STOP,"[0.77249, 0.22751]",GO,"[0.49216, 0.50784]",True,1.0,0.78%,1.0,1.27582,0.79171,188.89807,25.36853,0.99172,0.32426,0.20918
town7_000289.png,GO,"[0.30488, 0.69512]",GO,"[0.31318, 0.68682]",False,128.0,100.00%,,,,,,,,0.39819
town7_000290.png,GO,"[0.32902, 0.67098]",GO,"[0.33213, 0.66787]",False,128.0,100.00%,,,,,,,,0.43475
town7_000296.png,GO,"[0.29734, 0.70266]",GO,"[0.32552, 0.67448]",False,128.0,100.00%,,,,,,,,0.46839
town7_000302.png,GO,"[0.31763, 0.68237]",GO,"[0.32731, 0.67269]",False,128.0,100.00%,,,,,,,,0.43979
town7_000309.png,GO,"[0.29875, 0.70125]",GO,"[0.32514, 0.67486]",False,128.0,100.00%,,,,,,,,0.53839
town7_000312.png,GO,"[0.32705, 0.67295]",GO,"[0.29464, 0.70536]",False,128.0,100.00%,,,,,,,,0.43663
town7_000314.png,GO,"[0.30032, 0.69968]",GO,"[0.326, 0.674]",False,128.0,100.00%,,,,,,,,0.568
town7_000315.png,GO,"[0.30811, 0.69189]",GO,"[0.32702, 0.67298]",False,128.0,100.00%,,,,,,,,0.45968
town7_000319.png,GO,"[0.30973, 0.69027]",GO,"[0.32663, 0.67337]",False,128.0,100.00%,,,,,,,,0.48434
town7_000324.png,GO,"[0.31039, 0.68961]",GO,"[0.32478, 0.67522]",False,128.0,100.00%,,,,,,,,0.48507
town7_000327.png,GO,"[0.31235, 0.68765]",GO,"[0.32938, 0.67062]",False,128.0,100.00%,,,,,,,,0.50665
town7_000335.png,STOP,"[0.7391, 0.2609]",STOP,"[0.96113, 0.03887]",False,128.0,100.00%,,,,,,,,0.52292
town7_000337.png,STOP,"[0.97869, 0.02131]",STOP,"[0.83303, 0.16697]",False,128.0,100.00%,,,,,,,,0.501
town7_000343.png,STOP,"[0.97594, 0.02406]",STOP,"[0.78041, 0.21959]",False,128.0,100.00%,,,,,,,,0.47844
town7_000345.png,STOP,"[0.96923, 0.03077]",STOP,"[0.84159, 0.15841]",False,128.0,100.00%,,,,,,,,0.44498
town7_000346.png,STOP,"[0.96179, 0.03821]",STOP,"[0.89567, 0.10433]",False,128.0,100.00%,,,,,,,,0.55372
town7_000361.png,STOP,"[0.97135, 0.02865]",STOP,"[0.83946, 0.16054]",False,128.0,100.00%,,,,,,,,0.53428
town7_000375.png,STOP,"[0.97448, 0.02552]",STOP,"[0.74377, 0.25623]",False,128.0,100.00%,,,,,,,,0.50895
town7_000376.png,STOP,"[0.97804, 0.02196]",STOP,"[0.77432, 0.22568]",False,128.0,100.00%,,,,,,,,0.43685
town7_000377.png,STOP,"[0.96751, 0.03249]",STOP,"[0.84154, 0.15846]",False,128.0,100.00%,,,,,,,,0.47843
town7_000383.png,STOP,"[0.96778, 0.03222]",STOP,"[0.86336, 0.13664]",False,128.0,100.00%,,,,,,,,0.42146
town7_000386.png,STOP,"[0.97168, 0.02832]",STOP,"[0.80706, 0.19294]",False,128.0,100.00%,,,,,,,,0.50814
town7_000392.png,STOP,"[0.97887, 0.02113]",STOP,"[0.88301, 0.11699]",False,128.0,100.00%,,,,,,,,0.50047
town7_000397.png,STOP,"[0.97873, 0.02127]",STOP,"[0.84345, 0.15655]",False,128.0,100.00%,,,,,,,,0.4964
town7_000403.png,STOP,"[0.9768, 0.0232]",STOP,"[0.81482, 0.18518]",False,128.0,100.00%,,,,,,,,0.66453
town7_000407.png,STOP,"[0.96934, 0.03066]",STOP,"[0.85027, 0.14973]",False,128.0,100.00%,,,,,,,,0.43836
town7_000409.png,STOP,"[0.97108, 0.02892]",STOP,"[0.7706, 0.2294]",False,128.0,100.00%,,,,,,,,0.52378
town7_000411.png,STOP,"[0.96861, 0.03139]",STOP,"[0.79556, 0.20444]",False,128.0,100.00%,,,,,,,,0.51451
town7_000414.png,STOP,"[0.97491, 0.02509]",STOP,"[0.82428, 0.17572]",False,128.0,100.00%,,,,,,,,0.42944
town7_000415.png,STOP,"[0.97488, 0.02512]",STOP,"[0.8082, 0.1918]",False,128.0,100.00%,,,,,,,,0.46329
town7_000417.png,STOP,"[0.96933, 0.03067]",STOP,"[0.83836, 0.16164]",False,128.0,100.00%,,,,,,,,0.50682
town7_000422.png,STOP,"[0.96179, 0.03821]",STOP,"[0.85967, 0.14033]",False,128.0,100.00%,,,,,,,,0.40128
town7_000432.png,STOP,"[0.97734, 0.02266]",STOP,"[0.76659, 0.23341]",False,128.0,100.00%,,,,,,,,0.52369
town7_000441.png,STOP,"[0.97276, 0.02724]",STOP,"[0.83745, 0.16255]",False,128.0,100.00%,,,,,,,,0.5685
town7_000443.png,STOP,"[0.96827, 0.03173]",STOP,"[0.89543, 0.10457]",False,128.0,100.00%,,,,,,,,0.43852
town7_000444.png,STOP,"[0.96675, 0.03325]",STOP,"[0.88866, 0.11134]",False,128.0,100.00%,,,,,,,,0.68072
town7_000448.png,STOP,"[0.97616, 0.02384]",STOP,"[0.78932, 0.21068]",False,128.0,100.00%,,,,,,,,0.56426
town7_000457.png,STOP,"[0.97337, 0.02663]",STOP,"[0.82698, 0.17302]",False,128.0,100.00%,,,,,,,,0.70532
town7_000460.png,STOP,"[0.97392, 0.02608]",STOP,"[0.85272, 0.14728]",False,128.0,100.00%,,,,,,,,0.54555
town7_000463.png,STOP,"[0.97744, 0.02256]",STOP,"[0.7714, 0.2286]",False,128.0,100.00%,,,,,,,,0.46128
town7_000468.png,STOP,"[0.97151, 0.02849]",STOP,"[0.85625, 0.14375]",False,128.0,100.00%,,,,,,,,0.51962
town7_000471.png,STOP,"[0.96477, 0.03523]",STOP,"[0.78048, 0.21952]",False,128.0,100.00%,,,,,,,,0.41161
town7_000484.png,STOP,"[0.97103, 0.02897]",STOP,"[0.81261, 0.18739]",False,128.0,100.00%,,,,,,,,0.46947
town7_000494.png,STOP,"[0.97086, 0.02914]",STOP,"[0.8488, 0.1512]",False,128.0,100.00%,,,,,,,,0.38493
town7_000496.png,STOP,"[0.95784, 0.04216]",STOP,"[0.78169, 0.21831]",False,128.0,100.00%,,,,,,,,0.4831
town7_000498.png,STOP,"[0.95376, 0.04624]",STOP,"[0.86095, 0.13905]",False,128.0,100.00%,,,,,,,,0.40971
town7_000499.png,STOP,"[0.97044, 0.02956]",STOP,"[0.76969, 0.23031]",False,128.0,100.00%,,,,,,,,0.44919
town7_000500.png,STOP,"[0.97177, 0.02823]",STOP,"[0.85033, 0.14967]",False,128.0,100.00%,,,,,,,,0.53479
town7_000503.png,STOP,"[0.97111, 0.02889]",STOP,"[0.8455, 0.1545]",False,128.0,100.00%,,,,,,,,0.37977
town7_000505.png,STOP,"[0.96765, 0.03235]",STOP,"[0.81678, 0.18322]",False,128.0,100.00%,,,,,,,,0.47119
town7_000507.png,STOP,"[0.96783, 0.03217]",STOP,"[0.85807, 0.14193]",False,128.0,100.00%,,,,,,,,0.47817
town7_000508.png,STOP,"[0.97697, 0.02303]",STOP,"[0.84977, 0.15023]",False,128.0,100.00%,,,,,,,,0.40681
town7_000511.png,STOP,"[0.97581, 0.02419]",STOP,"[0.82119, 0.17881]",False,128.0,100.00%,,,,,,,,0.46515
town7_000518.png,STOP,"[0.97246, 0.02754]",STOP,"[0.79651, 0.20349]",False,128.0,100.00%,,,,,,,,0.47682
town7_000519.png,STOP,"[0.95528, 0.04472]",STOP,"[0.88791, 0.11209]",False,128.0,100.00%,,,,,,,,0.37891
town7_000524.png,STOP,"[0.97511, 0.02489]",STOP,"[0.77112, 0.22888]",False,128.0,100.00%,,,,,,,,0.42622
town7_000530.png,STOP,"[0.97053, 0.02947]",STOP,"[0.81708, 0.18292]",False,128.0,100.00%,,,,,,,,0.50034
town7_000535.png,STOP,"[0.94951, 0.05049]",STOP,"[0.84612, 0.15388]",False,128.0,100.00%,,,,,,,,0.40621
town7_000537.png,GO,"[0.36935, 0.63065]",GO,"[0.32619, 0.67381]",False,128.0,100.00%,,,,,,,,0.39555
town7_000538.png,GO,"[0.31346, 0.68654]",GO,"[0.28031, 0.71969]",False,128.0,100.00%,,,,,,,,0.58821
town7_000548.png,GO,"[0.04508, 0.95492]",GO,"[0.12751, 0.87249]",False,128.0,100.00%,,,,,,,,0.43693
town7_000549.png,GO,"[0.13595, 0.86405]",GO,"[0.10632, 0.89368]",False,128.0,100.00%,,,,,,,,0.47163
town7_000560.png,GO,"[0.33425, 0.66575]",GO,"[0.32243, 0.67757]",False,128.0,100.00%,,,,,,,,0.42524
town7_000562.png,GO,"[0.32796, 0.67204]",GO,"[0.3306, 0.6694]",False,128.0,100.00%,,,,,,,,0.51567
town7_000566.png,GO,"[0.34133, 0.65867]",GO,"[0.31775, 0.68225]",False,128.0,100.00%,,,,,,,,0.40277
town7_000567.png,GO,"[0.34181, 0.65819]",GO,"[0.31646, 0.68354]",False,128.0,100.00%,,,,,,,,0.38061
town7_000569.png,GO,"[0.34689, 0.65311]",GO,"[0.32318, 0.67682]",False,128.0,100.00%,,,,,,,,0.49428
town7_000587.png,GO,"[0.13955, 0.86045]",GO,"[0.2811, 0.7189]",False,128.0,100.00%,,,,,,,,0.45289
town7_000588.png,GO,"[0.13263, 0.86737]",GO,"[0.18194, 0.81806]",False,128.0,100.00%,,,,,,,,0.39168
town7_000592.png,GO,"[0.04053, 0.95947]",GO,"[0.13174, 0.86826]",False,128.0,100.00%,,,,,,,,0.47641
town7_000595.png,GO,"[0.32286, 0.67714]",GO,"[0.22525, 0.77475]",False,128.0,100.00%,,,,,,,,0.45929
town7_000597.png,GO,"[0.32122, 0.67878]",GO,"[0.32033, 0.67967]",False,128.0,100.00%,,,,,,,,0.38311
town7_000602.png,GO,"[0.30904, 0.69096]",GO,"[0.31841, 0.68159]",False,128.0,100.00%,,,,,,,,0.3971
town7_000603.png,GO,"[0.29908, 0.70092]",GO,"[0.29491, 0.70509]",False,128.0,100.00%,,,,,,,,0.40037
town7_000604.png,GO,"[0.28827, 0.71173]",GO,"[0.29717, 0.70283]",False,128.0,100.00%,,,,,,,,0.49223
town7_000615.png,GO,"[0.33256, 0.66744]",GO,"[0.31834, 0.68166]",False,128.0,100.00%,,,,,,,,0.46997
town7_000616.png,GO,"[0.3189, 0.6811]",GO,"[0.31088, 0.68912]",False,128.0,100.00%,,,,,,,,0.41877
town7_000621.png,GO,"[0.28614, 0.71386]",GO,"[0.29023, 0.70977]",False,128.0,100.00%,,,,,,,,0.41078
town7_000628.png,GO,"[0.32902, 0.67098]",GO,"[0.32414, 0.67586]",False,128.0,100.00%,,,,,,,,0.42516
town7_000633.png,GO,"[0.31839, 0.68161]",GO,"[0.38263, 0.61737]",False,128.0,100.00%,,,,,,,,0.42548
town7_000647.png,GO,"[0.21375, 0.78626]",GO,"[0.40944, 0.59056]",False,128.0,100.00%,,,,,,,,0.44013
town7_000655.png,GO,"[0.15761, 0.84239]",GO,"[0.18098, 0.81902]",False,128.0,100.00%,,,,,,,,0.45155
town7_000659.png,GO,"[0.24759, 0.75241]",GO,"[0.30699, 0.69301]",False,128.0,100.00%,,,,,,,,0.43449
town7_000661.png,GO,"[0.30473, 0.69527]",GO,"[0.09995, 0.90005]",False,128.0,100.00%,,,,,,,,0.49548
town7_000664.png,GO,"[0.2941, 0.7059]",GO,"[0.10604, 0.89396]",False,128.0,100.00%,,,,,,,,0.4629
town7_000668.png,GO,"[0.28201, 0.71799]",STOP,"[0.54638, 0.45362]",True,104.0,81.25%,104.0,10.77697,0.70918,493.57875,21.19724,0.95917,0.20886,0.40935
town7_000671.png,GO,"[0.32979, 0.67021]",GO,"[0.10672, 0.89328]",False,128.0,100.00%,,,,,,,,0.37939
town7_000688.png,GO,"[0.26139, 0.73861]",GO,"[0.1825, 0.8175]",False,128.0,100.00%,,,,,,,,0.49833
town7_000691.png,STOP,"[0.89406, 0.10594]",GO,"[0.48294, 0.51706]",True,5.0,3.91%,5.0,1.27778,0.83374,136.67164,26.77402,0.99527,0.38215,0.16421
town7_000692.png,STOP,"[0.87498, 0.12502]",GO,"[0.46158, 0.53842]",True,1.0,0.78%,1.0,1.1165,0.81874,151.09677,26.33825,0.99479,0.36618,0.17531
town7_000695.png,STOP,"[0.74757, 0.25243]",GO,"[0.25504, 0.74496]",True,1.0,0.78%,1.0,1.04494,0.81504,157.54779,26.15668,0.9947,0.37374,0.20513
town7_000702.png,STOP,"[0.67179, 0.32821]",GO,"[0.28608, 0.71392]",True,1.0,0.78%,1.0,1.00751,0.81287,158.73688,26.12403,0.99494,0.37386,0.13654
town7_000704.png,STOP,"[0.78756, 0.21244]",GO,"[0.36223, 0.63777]",True,2.0,1.56%,2.0,1.17999,0.81201,156.34589,26.18994,0.99462,0.37368,0.14092
town7_000728.png,GO,"[0.32205, 0.67795]",GO,"[0.32649, 0.67351]",False,128.0,100.00%,,,,,,,,0.39072
town7_000736.png,GO,"[0.29921, 0.70079]",GO,"[0.325, 0.675]",False,128.0,100.00%,,,,,,,,0.40305
town7_000740.png,GO,"[0.30551, 0.69449]",GO,"[0.29196, 0.70804]",False,128.0,100.00%,,,,,,,,0.48072
town7_000743.png,GO,"[0.31923, 0.68077]",GO,"[0.30056, 0.69944]",False,128.0,100.00%,,,,,,,,0.42116
town7_000751.png,GO,"[0.30515, 0.69485]",GO,"[0.32905, 0.67095]",False,128.0,100.00%,,,,,,,,0.36488
town7_000770.png,STOP,"[0.96598, 0.03402]",STOP,"[0.88253, 0.11747]",False,128.0,100.00%,,,,,,,,0.47562
town7_000774.png,STOP,"[0.97393, 0.02607]",STOP,"[0.90068, 0.09932]",False,128.0,100.00%,,,,,,,,0.58898
town7_000780.png,STOP,"[0.96858, 0.03142]",STOP,"[0.87407, 0.12593]",False,128.0,100.00%,,,,,,,,0.37129
town7_000784.png,STOP,"[0.96324, 0.03676]",STOP,"[0.86493, 0.13507]",False,128.0,100.00%,,,,,,,,0.44953
town7_000792.png,STOP,"[0.9633, 0.0367]",STOP,"[0.8344, 0.1656]",False,128.0,100.00%,,,,,,,,0.40993
town7_000796.png,STOP,"[0.96997, 0.03003]",STOP,"[0.90699, 0.09301]",False,128.0,100.00%,,,,,,,,0.55218
town7_000798.png,STOP,"[0.9731, 0.0269]",STOP,"[0.91085, 0.08915]",False,128.0,100.00%,,,,,,,,0.40091
town7_000800.png,STOP,"[0.96903, 0.03097]",STOP,"[0.905, 0.095]",False,128.0,100.00%,,,,,,,,0.41072
town7_000804.png,STOP,"[0.97273, 0.02727]",STOP,"[0.90437, 0.09563]",False,128.0,100.00%,,,,,,,,0.47309
town7_000813.png,STOP,"[0.71479, 0.28521]",GO,"[0.44082, 0.55918]",True,37.0,28.91%,37.0,2.71901,0.79407,141.29138,26.62965,0.99539,0.32616,0.29876
town7_000814.png,GO,"[0.32382, 0.67618]",GO,"[0.28855, 0.71145]",False,128.0,100.00%,,,,,,,,0.51778
town7_000815.png,GO,"[0.29829, 0.70171]",GO,"[0.30236, 0.69764]",False,128.0,100.00%,,,,,,,,0.47579
town7_000821.png,GO,"[0.13942, 0.86058]",STOP,"[0.5828, 0.4172]",True,97.0,75.78%,97.0,8.76486,0.65987,325.20385,23.00925,0.98794,0.18152,0.35826
town7_000828.png,GO,"[0.33025, 0.66975]",GO,"[0.32965, 0.67035]",False,128.0,100.00%,,,,,,,,0.41247
town7_000832.png,GO,"[0.33605, 0.66395]",GO,"[0.32801, 0.67199]",False,128.0,100.00%,,,,,,,,0.40631
town7_000834.png,GO,"[0.33557, 0.66443]",GO,"[0.32257, 0.67743]",False,128.0,100.00%,,,,,,,,0.44465
town7_000849.png,GO,"[0.35597, 0.64403]",GO,"[0.32199, 0.67801]",False,128.0,100.00%,,,,,,,,0.55791
town7_000863.png,GO,"[0.16528, 0.83472]",GO,"[0.32503, 0.67497]",False,128.0,100.00%,,,,,,,,0.41036
town7_000864.png,GO,"[0.15543, 0.84457]",STOP,"[0.52873, 0.47127]",True,112.0,87.50%,112.0,11.88413,0.61708,492.35664,21.20801,0.97096,0.12741,0.47381
town7_000865.png,GO,"[0.12276, 0.87724]",STOP,"[0.53395, 0.46605]",True,83.0,64.84%,83.0,10.69288,0.63971,384.62604,22.28042,0.97754,0.13882,0.30146
town7_000879.png,GO,"[0.3088, 0.6912]",GO,"[0.29734, 0.70266]",False,128.0,100.00%,,,,,,,,0.48875
town7_000886.png,GO,"[0.32153, 0.67847]",GO,"[0.28692, 0.71308]",False,128.0,100.00%,,,,,,,,0.4405
town7_000887.png,GO,"[0.3074, 0.6926]",GO,"[0.29571, 0.70429]",False,128.0,100.00%,,,,,,,,0.56565
town7_000900.png,GO,"[0.32629, 0.67371]",GO,"[0.30217, 0.69783]",False,128.0,100.00%,,,,,,,,0.55004
town7_000901.png,GO,"[0.32701, 0.67299]",GO,"[0.43567, 0.56433]",False,128.0,100.00%,,,,,,,,0.40083
town7_000905.png,GO,"[0.32099, 0.67901]",GO,"[0.36567, 0.63433]",False,128.0,100.00%,,,,,,,,0.48561
town7_000908.png,GO,"[0.34053, 0.65947]",GO,"[0.38906, 0.61094]",False,128.0,100.00%,,,,,,,,0.69069
town7_000913.png,STOP,"[0.6166, 0.3834]",GO,"[0.45139, 0.54861]",True,1.0,0.78%,1.0,0.22496,0.7865,101.52102,28.06524,0.99451,0.3047,0.176
town7_000919.png,GO,"[0.25518, 0.74482]",STOP,"[0.54358, 0.45642]",True,56.0,43.75%,56.0,4.57452,0.72804,241.54333,24.30085,0.98806,0.27844,0.31241
town7_000922.png,GO,"[0.2469, 0.7531]",STOP,"[0.51836, 0.48164]",True,82.0,64.06%,82.0,7.59074,0.69641,359.55318,22.57317,0.97949,0.24383,0.48234
town7_000935.png,GO,"[0.31271, 0.68729]",GO,"[0.24968, 0.75032]",False,128.0,100.00%,,,,,,,,0.38954
town7_000940.png,GO,"[0.29802, 0.70198]",GO,"[0.09863, 0.90137]",False,128.0,100.00%,,,,,,,,0.38339
town7_000952.png,GO,"[0.3336, 0.6664]",GO,"[0.10012, 0.89988]",False,128.0,100.00%,,,,,,,,0.56488
town7_000953.png,GO,"[0.32478, 0.67522]",GO,"[0.10375, 0.89625]",False,128.0,100.00%,,,,,,,,0.37672
town7_000955.png,GO,"[0.3078, 0.6922]",GO,"[0.09805, 0.90195]",False,128.0,100.00%,,,,,,,,0.51924
town7_000959.png,GO,"[0.37643, 0.62357]",GO,"[0.31232, 0.68768]",False,128.0,100.00%,,,,,,,,0.37561
town7_000969.png,STOP,"[0.84911, 0.15089]",GO,"[0.4892, 0.5108]",True,1.0,0.78%,1.0,1.17199,0.81477,130.87685,26.96218,0.99495,0.3612,0.10521
town7_000971.png,STOP,"[0.86962, 0.13038]",GO,"[0.48958, 0.51042]",True,1.0,0.78%,1.0,1.11066,0.80764,134.70846,26.83685,0.99485,0.35618,0.14512
