Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Features Replaced,Feature Selection (%),SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s),Sparsity,Proximity
town7_000262.png,STOP,"[0.86493, 0.13485, 3e-05, 0.00019]",GO,"[0.42668, 0.5657, 0.00414, 0.00348]",True,66.0,51.56%,0.76745,276.44445,23.71472,0.98702,0.29702,0.34061,66.0,5.75537
town7_000263.png,STOP,"[0.85553, 0.14422, 4e-05, 0.00022]",GO,"[0.40513, 0.58994, 0.00261, 0.00232]",True,69.0,53.91%,0.76244,294.80448,23.43546,0.9855,0.29878,0.53696,69.0,5.83889
town7_000265.png,STOP,"[0.84862, 0.15115, 5e-05, 0.00019]",GO,"[0.45404, 0.53936, 0.0031, 0.00349]",True,57.0,44.53%,0.76316,280.16221,23.65671,0.98693,0.29496,0.30798,57.0,5.61297
town7_000269.png,STOP,"[0.85695, 0.14264, 6e-05, 0.00035]",GO,"[0.45309, 0.53758, 0.00683, 0.00251]",True,77.0,60.16%,0.75905,296.70224,23.4076,0.98562,0.29178,0.48177,77.0,5.97043
town7_000273.png,STOP,"[0.84548, 0.15426, 5e-05, 0.00021]",GO,"[0.39736, 0.59407, 0.00635, 0.00222]",True,66.0,51.56%,0.76368,311.48349,23.19645,0.98508,0.28993,0.38432,66.0,5.77307
town7_000289.png,RIGHT,"[1e-05, 0.04113, 0.95598, 0.00288]",GO,"[0.00028, 0.67197, 0.32017, 0.00758]",True,28.0,21.88%,0.76697,156.8299,26.17652,0.99414,0.26691,0.31472,28.0,4.18527
town7_000290.png,LEFT,"[0.00017, 0.10562, 0.29515, 0.59906]",RIGHT,"[0.0001, 0.16834, 0.68965, 0.14191]",True,1.0,0.78%,0.76833,104.53482,27.93819,0.99677,0.31256,0.29612,1.0,0.65054
town7_000296.png,GO,"[0.0001, 0.98985, 0.00252, 0.00753]",RIGHT,"[0.00018, 0.40934, 0.50596, 0.08452]",True,95.0,74.22%,0.79968,324.82958,23.01425,0.97913,0.33101,0.49665,95.0,9.67979
town7_000302.png,GO,"[0.0013, 0.97154, 0.00646, 0.0207]",RIGHT,"[0.00016, 0.42532, 0.44638, 0.12814]",True,106.0,82.81%,0.7888,169.89893,25.8289,0.99331,0.31564,0.44403,106.0,6.24714
town7_000309.png,GO,"[1e-05, 0.98058, 0.00413, 0.01527]",RIGHT,"[0.0003, 0.34179, 0.41282, 0.24509]",True,85.0,66.41%,0.80542,157.77956,26.1503,0.99306,0.32856,0.43346,85.0,6.47395
town7_000312.png,GO,"[0.0001, 0.99347, 0.00471, 0.00172]",RIGHT,"[9e-05, 0.35678, 0.6359, 0.00724]",True,77.0,60.16%,0.81432,210.57737,24.89669,0.98697,0.32026,0.36167,77.0,7.37682
town7_000314.png,GO,"[9e-05, 0.98715, 0.00575, 0.00701]",RIGHT,"[9e-05, 0.44157, 0.44339, 0.11496]",True,95.0,74.22%,0.7984,185.65781,25.44367,0.99195,0.31847,0.47561,95.0,6.89746
town7_000315.png,GO,"[0.00034, 0.96661, 0.0164, 0.01665]",RIGHT,"[0.0002, 0.41331, 0.49004, 0.09645]",True,84.0,65.62%,0.81886,142.39427,26.59588,0.99346,0.34733,0.44513,84.0,5.93585
town7_000319.png,GO,"[0.00101, 0.93893, 0.04249, 0.01757]",RIGHT,"[0.00043, 0.32429, 0.55967, 0.11562]",True,88.0,68.75%,0.8375,115.64977,27.49936,0.99518,0.35929,0.50482,88.0,5.00851
town7_000324.png,GO,"[5e-05, 0.98663, 0.00796, 0.00536]",RIGHT,"[0.00018, 0.33668, 0.46181, 0.20132]",True,104.0,81.25%,0.82123,190.58846,25.32984,0.98996,0.34525,0.57824,104.0,6.9426
town7_000327.png,GO,"[0.00012, 0.98799, 0.00598, 0.00592]",RIGHT,"[0.00019, 0.37766, 0.51141, 0.11074]",True,92.0,71.88%,0.8009,165.33773,25.94708,0.99394,0.32183,0.38292,92.0,6.51945
town7_000335.png,GO,"[0.03612, 0.94734, 0.01193, 0.00461]",STOP,"[0.62119, 0.3743, 0.00261, 0.0019]",True,1.0,0.78%,0.82735,90.7281,28.55339,0.99693,0.35683,0.20444,1.0,0.88607
town7_000337.png,STOP,"[0.92818, 0.07174, 2e-05, 6e-05]",GO,"[0.24138, 0.75431, 0.00224, 0.00207]",True,116.0,90.62%,0.84209,94.69711,28.36744,0.9966,0.3622,0.42381,116.0,5.76892
town7_000343.png,STOP,"[0.94336, 0.0566, 1e-05, 3e-05]",GO,"[0.29342, 0.69968, 0.00472, 0.00218]",True,123.0,96.09%,0.80457,119.93951,27.34118,0.99559,0.33102,0.68099,123.0,6.03535
town7_000345.png,STOP,"[0.94373, 0.05624, 1e-05, 2e-05]",GO,"[0.35761, 0.63512, 0.00592, 0.00135]",True,106.0,82.81%,0.81211,113.28948,27.58891,0.99583,0.34473,0.47733,106.0,6.03198
town7_000346.png,STOP,"[0.95363, 0.04633, 1e-05, 2e-05]",GO,"[0.34629, 0.64923, 0.00284, 0.00164]",True,111.0,86.72%,0.80453,115.96758,27.48744,0.9957,0.32738,0.4402,111.0,6.11335
town7_000361.png,STOP,"[0.94125, 0.05871, 1e-05, 3e-05]",GO,"[0.43447, 0.56265, 0.00178, 0.00109]",True,109.0,85.16%,0.80732,116.36852,27.47245,0.99579,0.33258,0.61388,109.0,5.84395
town7_000375.png,STOP,"[0.94346, 0.05648, 2e-05, 3e-05]",GO,"[0.39893, 0.59555, 0.00351, 0.00201]",True,108.0,84.38%,0.81116,113.02245,27.59916,0.99589,0.3452,0.42201,108.0,6.25105
town7_000376.png,STOP,"[0.95165, 0.04832, 1e-05, 2e-05]",GO,"[0.43136, 0.56523, 0.00262, 0.00078]",True,113.0,88.28%,0.80712,126.57039,27.10748,0.99528,0.33134,0.5262,113.0,6.01818
town7_000377.png,STOP,"[0.95104, 0.04892, 2e-05, 2e-05]",GO,"[0.38367, 0.61335, 0.00085, 0.00213]",True,115.0,89.84%,0.80542,134.12656,26.85566,0.99517,0.32912,0.6328,115.0,6.3614
town7_000383.png,STOP,"[0.95332, 0.04665, 2e-05, 2e-05]",GO,"[0.42813, 0.56709, 0.00305, 0.00172]",True,107.0,83.59%,0.80335,131.74008,26.93362,0.99511,0.32824,0.48228,107.0,6.49894
town7_000386.png,STOP,"[0.94714, 0.05283, 1e-05, 3e-05]",GO,"[0.37808, 0.61478, 0.00474, 0.0024]",True,110.0,85.94%,0.80304,135.51576,26.81091,0.99497,0.33082,0.41639,110.0,6.69357
town7_000392.png,STOP,"[0.94979, 0.05014, 3e-05, 4e-05]",GO,"[0.28938, 0.70705, 0.002, 0.00158]",True,117.0,91.41%,0.8016,136.55365,26.77777,0.99494,0.32467,0.49192,117.0,6.36423
town7_000397.png,STOP,"[0.95547, 0.04449, 1e-05, 3e-05]",GO,"[0.2115, 0.78412, 0.00204, 0.00234]",True,119.0,92.97%,0.79829,136.22401,26.78827,0.99508,0.31812,0.54521,119.0,6.2195
town7_000403.png,STOP,"[0.95046, 0.0495, 1e-05, 3e-05]",GO,"[0.42132, 0.57245, 0.00464, 0.00158]",True,122.0,95.31%,0.79714,139.28466,26.69177,0.99491,0.32025,0.61307,122.0,6.38749
town7_000407.png,STOP,"[0.94703, 0.05295, 1e-05, 2e-05]",GO,"[0.23869, 0.75611, 0.00315, 0.00205]",True,108.0,84.38%,0.80541,128.32703,27.04762,0.99525,0.32802,0.54757,108.0,6.53998
town7_000409.png,STOP,"[0.94157, 0.05838, 1e-05, 4e-05]",GO,"[0.49576, 0.49972, 0.00322, 0.0013]",True,110.0,85.94%,0.80749,120.51003,27.32057,0.99572,0.33699,0.71559,110.0,6.09122
town7_000411.png,STOP,"[0.94418, 0.05576, 2e-05, 4e-05]",GO,"[0.41877, 0.57885, 0.00124, 0.00113]",True,115.0,89.84%,0.79847,135.80982,26.80149,0.99505,0.31694,0.44119,115.0,6.11472
town7_000414.png,STOP,"[0.94949, 0.05047, 1e-05, 2e-05]",GO,"[0.22529, 0.7588, 0.01369, 0.00223]",True,122.0,95.31%,0.79338,141.93799,26.60982,0.99474,0.3127,0.49537,122.0,6.72827
town7_000415.png,STOP,"[0.94643, 0.05354, 1e-05, 2e-05]",GO,"[0.28408, 0.70461, 0.00943, 0.00188]",True,109.0,85.16%,0.80251,126.09849,27.1237,0.99547,0.32531,0.51159,109.0,6.35155
town7_000417.png,STOP,"[0.94117, 0.05871, 7e-05, 5e-05]",GO,"[0.25001, 0.74345, 0.00367, 0.00287]",True,111.0,86.72%,0.8058,120.62958,27.31627,0.99567,0.33283,0.50381,111.0,5.85956
town7_000422.png,STOP,"[0.9425, 0.05746, 2e-05, 2e-05]",GO,"[0.33479, 0.66105, 0.00308, 0.00108]",True,110.0,85.94%,0.80058,136.79245,26.77018,0.99502,0.3226,0.52785,110.0,6.22621
town7_000432.png,STOP,"[0.94378, 0.05617, 2e-05, 3e-05]",GO,"[0.46283, 0.5318, 0.00435, 0.00102]",True,112.0,87.50%,0.80142,133.22732,26.88487,0.99519,0.32184,0.42637,112.0,6.47789
town7_000441.png,STOP,"[0.93092, 0.06903, 3e-05, 3e-05]",GO,"[0.34683, 0.6451, 0.00563, 0.00244]",True,123.0,96.09%,0.79477,146.00008,26.48727,0.99462,0.3127,0.58366,123.0,6.49489
town7_000443.png,STOP,"[0.94168, 0.05828, 2e-05, 2e-05]",GO,"[0.39255, 0.59853, 0.00713, 0.00179]",True,123.0,96.09%,0.79478,145.01424,26.5167,0.99469,0.31608,0.51222,123.0,6.86411
town7_000444.png,STOP,"[0.93782, 0.06214, 1e-05, 2e-05]",GO,"[0.23536, 0.7607, 0.00251, 0.00143]",True,111.0,86.72%,0.8001,138.11299,26.72846,0.99495,0.31804,0.49836,111.0,6.31709
town7_000448.png,STOP,"[0.93735, 0.06262, 1e-05, 2e-05]",GO,"[0.38327, 0.61125, 0.00362, 0.00186]",True,115.0,89.84%,0.79972,137.02896,26.76268,0.99498,0.32281,0.4437,115.0,6.31897
town7_000457.png,STOP,"[0.95067, 0.04929, 2e-05, 2e-05]",GO,"[0.43044, 0.56482, 0.00306, 0.00168]",True,105.0,82.03%,0.80689,121.07349,27.30031,0.99566,0.3384,0.38463,105.0,6.36051
town7_000460.png,STOP,"[0.94342, 0.05654, 2e-05, 2e-05]",GO,"[0.33525, 0.65715, 0.00627, 0.00134]",True,113.0,88.28%,0.80096,139.53883,26.68385,0.99495,0.32311,0.4677,113.0,6.36443
town7_000463.png,STOP,"[0.95105, 0.04889, 3e-05, 3e-05]",GO,"[0.24676, 0.74869, 0.00184, 0.00271]",True,124.0,96.88%,0.79383,152.88635,26.28712,0.99427,0.31218,0.43454,124.0,6.73573
town7_000468.png,STOP,"[0.94203, 0.05793, 1e-05, 2e-05]",GO,"[0.45577, 0.53775, 0.00475, 0.00172]",True,116.0,90.62%,0.80034,151.07578,26.33886,0.99437,0.32268,0.67088,116.0,6.71603
town7_000471.png,STOP,"[0.92845, 0.07143, 5e-05, 7e-05]",GO,"[0.41992, 0.5757, 0.00326, 0.00113]",True,117.0,91.41%,0.80106,144.06839,26.54512,0.9947,0.32324,0.44253,117.0,6.38499
town7_000484.png,STOP,"[0.93573, 0.06421, 2e-05, 4e-05]",GO,"[0.44228, 0.55204, 0.00352, 0.00216]",True,110.0,85.94%,0.79785,146.5607,26.47063,0.99436,0.31985,0.4833,110.0,6.34114
town7_000494.png,STOP,"[0.93685, 0.06304, 3e-05, 8e-05]",GO,"[0.41514, 0.57709, 0.00626, 0.00151]",True,119.0,92.97%,0.79874,134.1157,26.85601,0.99506,0.33223,0.50839,119.0,6.623
town7_000496.png,STOP,"[0.94066, 0.05929, 2e-05, 3e-05]",GO,"[0.28347, 0.70731, 0.00642, 0.0028]",True,116.0,90.62%,0.796,145.98805,26.48763,0.99451,0.32411,0.45418,116.0,6.47919
town7_000498.png,STOP,"[0.93735, 0.0626, 1e-05, 4e-05]",GO,"[0.49483, 0.50313, 0.00113, 0.00091]",True,112.0,87.50%,0.80536,128.92401,27.02747,0.99534,0.33803,0.40113,112.0,6.43637
town7_000499.png,STOP,"[0.94215, 0.05782, 1e-05, 2e-05]",GO,"[0.10675, 0.88042, 0.00956, 0.00327]",True,111.0,86.72%,0.79917,139.53396,26.684,0.99481,0.32805,0.57718,111.0,6.53021
town7_000500.png,STOP,"[0.94863, 0.05132, 2e-05, 3e-05]",GO,"[0.27834, 0.71274, 0.00542, 0.0035]",True,104.0,81.25%,0.80238,158.31518,26.13558,0.99439,0.32735,0.41366,104.0,6.36415
town7_000503.png,STOP,"[0.92194, 0.07799, 2e-05, 5e-05]",GO,"[0.10362, 0.88156, 0.01261, 0.00221]",True,111.0,86.72%,0.80505,127.54615,27.07413,0.99549,0.33665,0.39646,111.0,6.0599
town7_000505.png,STOP,"[0.93358, 0.06631, 3e-05, 8e-05]",GO,"[0.30474, 0.69159, 0.0017, 0.00197]",True,120.0,93.75%,0.79157,149.41359,26.3869,0.9944,0.31983,0.64095,120.0,6.75866
town7_000507.png,STOP,"[0.9241, 0.07572, 6e-05, 0.00011]",GO,"[0.4452, 0.54969, 0.0032, 0.00191]",True,111.0,86.72%,0.80563,124.30951,27.18576,0.99553,0.3394,0.45964,111.0,6.18804
town7_000508.png,STOP,"[0.92496, 0.07496, 3e-05, 5e-05]",GO,"[0.35673, 0.64089, 0.00116, 0.00122]",True,107.0,83.59%,0.79787,141.17508,26.63322,0.99471,0.32321,0.43258,107.0,6.37443
town7_000511.png,STOP,"[0.92674, 0.07314, 5e-05, 7e-05]",GO,"[0.4978, 0.50048, 0.00048, 0.00124]",True,108.0,84.38%,0.80361,129.92995,26.99371,0.99519,0.3363,0.39258,108.0,6.12025
town7_000518.png,STOP,"[0.9324, 0.06756, 1e-05, 3e-05]",GO,"[0.31574, 0.67992, 0.00207, 0.00227]",True,117.0,91.41%,0.79628,146.63682,26.46837,0.99451,0.32207,0.60774,117.0,6.6653
town7_000519.png,STOP,"[0.93926, 0.06068, 2e-05, 3e-05]",GO,"[0.2973, 0.69594, 0.00487, 0.0019]",True,120.0,93.75%,0.80039,138.00023,26.73201,0.99497,0.33039,0.48434,120.0,6.4851
town7_000524.png,STOP,"[0.94095, 0.05901, 1e-05, 2e-05]",GO,"[0.32878, 0.66576, 0.00266, 0.00281]",True,112.0,87.50%,0.80001,150.91484,26.34348,0.99427,0.32757,0.42405,112.0,6.27947
town7_000530.png,STOP,"[0.92876, 0.07118, 3e-05, 4e-05]",GO,"[0.41862, 0.57635, 0.00248, 0.00255]",True,111.0,86.72%,0.80509,131.49734,26.94163,0.99523,0.33468,0.43752,111.0,6.26033
town7_000535.png,STOP,"[0.93682, 0.06301, 3e-05, 0.00014]",GO,"[0.0367, 0.95642, 0.00482, 0.00206]",True,113.0,88.28%,0.79743,162.52823,26.02152,0.9932,0.30314,0.46821,113.0,6.56263
town7_000537.png,GO,"[0.45427, 0.53123, 0.00419, 0.01032]",STOP,"[0.75773, 0.23909, 0.0015, 0.00168]",True,1.0,0.78%,0.78723,147.33701,26.44769,0.99558,0.33439,0.27338,1.0,0.17978
town7_000538.png,GO,"[0.03811, 0.50694, 0.40143, 0.05351]",RIGHT,"[0.10527, 0.37917, 0.50712, 0.00844]",True,6.0,4.69%,0.77005,159.95497,26.09083,0.9954,0.32057,0.22777,6.0,0.99098
town7_000548.png,RIGHT,"[8e-05, 0.01397, 0.98391, 0.00203]",LEFT,"[0.00248, 0.03071, 0.40449, 0.56232]",True,74.0,57.81%,0.71173,396.45654,22.14885,0.9853,0.1941,0.61092,74.0,9.9501
town7_000549.png,RIGHT,"[0.00058, 0.0161, 0.87094, 0.11238]",LEFT,"[0.0011, 0.01902, 0.40489, 0.575]",True,40.0,31.25%,0.70923,234.8825,24.4223,0.99022,0.22861,0.52928,40.0,4.86756
