Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Time Taken (s),Sparsity,Proximity,Masked Patches
town7_000229.png,GO,"0.31386, 0.68614",GO,"0.31386, 0.68614",False,,,,,,,,0.78728,,,3.0
town7_000238.png,GO,"0.33931, 0.66069",STOP,"0.33931, 0.66069",True,,27.0,0.70315,361.62523,22.54822,0.9763,0.25499,0.87341,0.09375,9.76065,3.0
town7_000242.png,GO,"0.34403, 0.65597",STOP,"0.34403, 0.65597",True,,54.0,0.80048,108.06138,27.7941,0.99158,0.31532,0.38501,0.02344,4.46924,3.0
town7_000246.png,GO,"0.34214, 0.65786",STOP,"0.34214, 0.65786",True,,54.0,0.78903,122.65253,27.24404,0.99096,0.30386,0.37329,0.02344,4.12466,3.0
town7_000252.png,STOP,"0.65391, 0.34609",GO,"0.65391, 0.34609",True,,0.0,0.80093,100.65828,28.10231,0.99411,0.31065,0.14841,0.02344,2.59476,3.0
town7_000260.png,STOP,"0.83031, 0.16969",GO,"0.83031, 0.16969",True,,42.0,0.78494,192.32935,25.29035,0.99093,0.29596,0.37546,0.02344,4.61327,3.0
town7_000261.png,STOP,"0.81528, 0.18472",GO,"0.81528, 0.18472",True,,17.0,0.7858,186.95474,25.41344,0.99078,0.31508,0.21286,0.02344,4.34379,3.0
town7_000262.png,STOP,"0.80849, 0.19151",GO,"0.80849, 0.19151",True,,17.0,0.7894,182.61943,25.51533,0.99138,0.32741,0.25008,0.02344,3.87166,3.0
town7_000263.png,STOP,"0.79117, 0.20883",GO,"0.79117, 0.20883",True,,10.0,0.79268,175.87336,25.6788,0.99225,0.33052,0.24008,0.02344,3.66312,3.0
town7_000265.png,STOP,"0.80314, 0.19686",GO,"0.80314, 0.19686",True,,17.0,0.78309,190.195,25.33881,0.99055,0.31912,0.21868,0.02344,4.03273,3.0
town7_000269.png,STOP,"0.77767, 0.22233",GO,"0.77767, 0.22233",True,,3.0,0.78986,184.27143,25.47622,0.99173,0.32872,0.17522,0.02344,4.19575,3.0
town7_000273.png,STOP,"0.79408, 0.20592",GO,"0.79408, 0.20592",True,,1.0,0.78799,194.87523,25.23324,0.99079,0.32113,0.20505,0.02344,3.59735,3.0
town7_000289.png,GO,"0.30986, 0.69014",GO,"0.30986, 0.69014",False,,,,,,,,0.78682,,,3.0
town7_000290.png,GO,"0.33284, 0.66716",STOP,"0.33284, 0.66716",True,,11.0,0.57435,823.36352,18.97489,0.96762,0.11295,0.82258,0.09375,13.71553,3.0
town7_000296.png,GO,"0.3104, 0.6896",GO,"0.3104, 0.6896",False,,,,,,,,0.81245,,,3.0
town7_000302.png,GO,"0.31642, 0.68358",STOP,"0.31642, 0.68358",True,,60.0,0.80589,133.63349,26.87165,0.994,0.32594,0.51279,0.02344,6.19241,3.0
town7_000309.png,GO,"0.2877, 0.7123",STOP,"0.2877, 0.7123",True,,11.0,0.65132,796.78779,19.11738,0.9664,0.17974,0.82182,0.09375,13.41806,3.0
town7_000312.png,GO,"0.33044, 0.66956",STOP,"0.33044, 0.66956",True,,55.0,0.81948,133.8662,26.86409,0.9929,0.33367,0.46927,0.02344,4.33922,3.0
town7_000314.png,GO,"0.30913, 0.69087",STOP,"0.30913, 0.69087",True,,11.0,0.66911,750.99234,19.37445,0.96797,0.1823,0.81607,0.09375,12.89707,3.0
town7_000315.png,GO,"0.30866, 0.69134",STOP,"0.30866, 0.69134",True,,11.0,0.67358,770.70326,19.26193,0.96763,0.18504,0.7784,0.09375,13.14247,3.0
town7_000319.png,GO,"0.30372, 0.69628",GO,"0.30372, 0.69628",False,,,,,,,,0.83321,,,3.0
town7_000324.png,GO,"0.3097, 0.6903",STOP,"0.3097, 0.6903",True,,11.0,0.66974,708.70096,19.62617,0.96952,0.17841,0.74577,0.09375,12.22806,3.0
town7_000327.png,GO,"0.31002, 0.68998",STOP,"0.31002, 0.68998",True,,11.0,0.66518,750.7619,19.37578,0.96853,0.17842,0.83197,0.09375,12.8063,3.0
town7_000335.png,STOP,"0.74826, 0.25174",GO,"0.74826, 0.25174",True,,18.0,0.81365,114.41982,27.54579,0.99556,0.33627,0.21161,0.02344,3.90232,3.0
town7_000337.png,STOP,"0.97506, 0.02494",GO,"0.97506, 0.02494",True,,1.0,0.77466,438.91508,21.707,0.96789,0.31442,0.81311,0.09375,11.51362,3.0
town7_000343.png,STOP,"0.96874, 0.03126",GO,"0.96874, 0.03126",True,,1.0,0.75005,421.46732,21.88316,0.96974,0.29093,0.78829,0.09375,11.43667,3.0
town7_000345.png,STOP,"0.97698, 0.02302",GO,"0.97698, 0.02302",True,,0.0,0.78893,341.00568,22.80319,0.97298,0.33835,0.80409,0.09375,8.77581,3.0
town7_000346.png,STOP,"0.9737, 0.0263",GO,"0.9737, 0.0263",True,,0.0,0.7827,360.93279,22.55654,0.97179,0.32939,0.74782,0.09375,9.18884,3.0
town7_000361.png,STOP,"0.96895, 0.03105",GO,"0.96895, 0.03105",True,,0.0,0.78457,358.47945,22.58616,0.97208,0.33443,0.73605,0.09375,9.07591,3.0
town7_000375.png,STOP,"0.97464, 0.02536",GO,"0.97464, 0.02536",True,,0.0,0.78703,360.17188,22.56571,0.9722,0.33984,0.77751,0.09375,9.22555,3.0
town7_000376.png,STOP,"0.97331, 0.02669",GO,"0.97331, 0.02669",True,,0.0,0.78648,368.45375,22.46697,0.97162,0.33805,0.73777,0.09375,9.50931,3.0
town7_000377.png,STOP,"0.96228, 0.03772",GO,"0.96228, 0.03772",True,,0.0,0.7858,363.92935,22.52063,0.97226,0.33495,0.81673,0.09375,9.04998,3.0
town7_000383.png,STOP,"0.98187, 0.01813",GO,"0.98187, 0.01813",True,,0.0,0.78423,377.47664,22.3619,0.97128,0.3355,0.81988,0.09375,9.47858,3.0
town7_000386.png,STOP,"0.97194, 0.02806",GO,"0.97194, 0.02806",True,,0.0,0.78439,377.90622,22.35696,0.9706,0.33761,0.74512,0.09375,9.28852,3.0
town7_000392.png,STOP,"0.97444, 0.02556",GO,"0.97444, 0.02556",True,,0.0,0.78634,347.39443,22.72258,0.97307,0.33365,0.79257,0.09375,8.90283,3.0
town7_000397.png,STOP,"0.97649, 0.02351",GO,"0.97649, 0.02351",True,,0.0,0.78184,378.91122,22.34543,0.97019,0.33165,0.7161,0.09375,10.12919,3.0
town7_000403.png,STOP,"0.97249, 0.02751",GO,"0.97249, 0.02751",True,,0.0,0.78214,367.25289,22.48115,0.97133,0.33156,0.78812,0.09375,9.34792,3.0
town7_000407.png,STOP,"0.98084, 0.01916",GO,"0.98084, 0.01916",True,,1.0,0.74752,421.0207,21.88777,0.9671,0.28714,0.74593,0.09375,11.18892,3.0
town7_000409.png,STOP,"0.97433, 0.02567",GO,"0.97433, 0.02567",True,,0.0,0.78359,362.9568,22.53225,0.97145,0.33433,0.84701,0.09375,9.17478,3.0
town7_000411.png,STOP,"0.97285, 0.02715",GO,"0.97285, 0.02715",True,,0.0,0.7819,362.55,22.53712,0.97175,0.33639,0.91,0.09375,9.59069,3.0
town7_000414.png,STOP,"0.981, 0.019",GO,"0.981, 0.019",True,,0.0,0.78069,374.42135,22.3972,0.97095,0.32958,0.85577,0.09375,9.15313,3.0
town7_000415.png,STOP,"0.97224, 0.02776",GO,"0.97224, 0.02776",True,,0.0,0.78438,354.49151,22.63475,0.97223,0.33537,0.97079,0.09375,9.15244,3.0
town7_000417.png,STOP,"0.96941, 0.03059",GO,"0.96941, 0.03059",True,,0.0,0.78108,361.5987,22.54854,0.97178,0.32951,0.79502,0.09375,9.26148,3.0
town7_000422.png,STOP,"0.97821, 0.02179",GO,"0.97821, 0.02179",True,,0.0,0.78096,354.10544,22.63948,0.97216,0.33276,0.93383,0.09375,9.29132,3.0
town7_000432.png,STOP,"0.97559, 0.02441",GO,"0.97559, 0.02441",True,,0.0,0.77953,378.09271,22.35482,0.97011,0.33084,0.83052,0.09375,9.43923,3.0
town7_000441.png,STOP,"0.97495, 0.02505",GO,"0.97495, 0.02505",True,,0.0,0.77824,370.38635,22.44425,0.97074,0.33069,0.82721,0.09375,9.3946,3.0
town7_000443.png,STOP,"0.97033, 0.02967",GO,"0.97033, 0.02967",True,,0.0,0.78277,357.585,22.59701,0.97167,0.3385,0.80531,0.09375,9.29585,3.0
town7_000444.png,STOP,"0.9717, 0.0283",GO,"0.9717, 0.0283",True,,0.0,0.78638,332.1301,22.91772,0.97359,0.33969,0.90987,0.09375,8.78512,3.0
town7_000448.png,STOP,"0.97625, 0.02375",GO,"0.97625, 0.02375",True,,0.0,0.78055,374.12263,22.40066,0.96993,0.33113,0.74633,0.09375,9.80672,3.0
town7_000457.png,STOP,"0.97749, 0.02251",GO,"0.97749, 0.02251",True,,0.0,0.78182,351.67865,22.66934,0.97203,0.33462,0.80635,0.09375,9.24814,3.0
town7_000460.png,STOP,"0.96291, 0.03709",GO,"0.96291, 0.03709",True,,0.0,0.77523,388.99128,22.2314,0.96911,0.32435,0.92364,0.09375,9.56909,3.0
town7_000463.png,STOP,"0.96882, 0.03118",GO,"0.96882, 0.03118",True,,0.0,0.78443,348.19039,22.71264,0.97224,0.3384,0.81275,0.09375,8.94186,3.0
town7_000468.png,STOP,"0.96881, 0.03119",GO,"0.96881, 0.03119",True,,0.0,0.78598,352.05818,22.66466,0.97167,0.33753,0.76645,0.09375,9.33712,3.0
town7_000471.png,STOP,"0.97015, 0.02985",GO,"0.97015, 0.02985",True,,0.0,0.78891,341.63401,22.79519,0.97272,0.34268,0.82792,0.09375,9.68275,3.0
town7_000484.png,STOP,"0.96875, 0.03125",GO,"0.96875, 0.03125",True,,0.0,0.78502,334.72193,22.88396,0.97263,0.33638,0.74311,0.09375,8.69184,3.0
town7_000494.png,STOP,"0.96791, 0.03209",GO,"0.96791, 0.03209",True,,0.0,0.77677,356.51182,22.61006,0.9709,0.3238,0.81877,0.09375,9.12071,3.0
town7_000496.png,STOP,"0.96445, 0.03555",GO,"0.96445, 0.03555",True,,0.0,0.77777,354.1501,22.63893,0.97055,0.32836,0.75173,0.09375,8.89048,3.0
town7_000498.png,STOP,"0.9728, 0.0272",GO,"0.9728, 0.0272",True,,0.0,0.78235,336.35484,22.86283,0.97192,0.33357,0.83057,0.09375,9.05754,3.0
town7_000499.png,STOP,"0.97052, 0.02948",GO,"0.97052, 0.02948",True,,0.0,0.78098,331.61427,22.92447,0.97273,0.32838,0.86506,0.09375,9.28261,3.0
town7_000500.png,STOP,"0.96718, 0.03282",GO,"0.96718, 0.03282",True,,0.0,0.78057,330.69628,22.93651,0.97267,0.32863,0.74893,0.09375,8.73108,3.0
town7_000503.png,STOP,"0.9729, 0.0271",GO,"0.9729, 0.0271",True,,0.0,0.78392,328.59846,22.96415,0.97258,0.33589,0.84973,0.09375,8.66695,3.0
town7_000505.png,STOP,"0.96163, 0.03837",GO,"0.96163, 0.03837",True,,0.0,0.77983,325.32651,23.00761,0.97306,0.33177,0.90102,0.09375,8.66425,3.0
town7_000507.png,STOP,"0.9732, 0.0268",GO,"0.9732, 0.0268",True,,1.0,0.75398,369.95904,22.44927,0.97054,0.29172,0.86348,0.09375,10.50046,3.0
town7_000508.png,STOP,"0.97408, 0.02592",GO,"0.97408, 0.02592",True,,0.0,0.77908,342.39128,22.78558,0.97135,0.32738,0.74695,0.09375,9.22685,3.0
town7_000511.png,STOP,"0.97025, 0.02975",GO,"0.97025, 0.02975",True,,0.0,0.78062,334.08758,22.8922,0.97199,0.33126,1.01949,0.09375,8.57646,3.0
town7_000518.png,STOP,"0.9701, 0.0299",GO,"0.9701, 0.0299",True,,0.0,0.77563,353.00919,22.65294,0.97059,0.3205,0.74734,0.09375,9.23999,3.0
town7_000519.png,STOP,"0.97724, 0.02276",GO,"0.97724, 0.02276",True,,0.0,0.78039,343.08279,22.77681,0.97128,0.33067,0.79174,0.09375,8.88352,3.0
town7_000524.png,STOP,"0.97205, 0.02795",GO,"0.97205, 0.02795",True,,0.0,0.78066,347.0531,22.72684,0.97123,0.33126,0.80224,0.09375,8.7983,3.0
town7_000530.png,STOP,"0.97128, 0.02872",GO,"0.97128, 0.02872",True,,0.0,0.78155,337.52919,22.84769,0.97184,0.33068,0.79145,0.09375,8.65172,3.0
town7_000535.png,STOP,"0.95706, 0.04294",GO,"0.95706, 0.04294",True,,0.0,0.80894,315.53107,23.14038,0.97363,0.34424,0.80245,0.09375,8.14833,3.0
town7_000537.png,GO,"0.39993, 0.60007",STOP,"0.39993, 0.60007",True,,0.0,0.78454,155.36279,26.21733,0.9951,0.3307,0.20392,0.02344,3.47677,3.0
town7_000538.png,GO,"0.32168, 0.67832",STOP,"0.32168, 0.67832",True,,11.0,0.5542,944.69893,18.37787,0.96258,0.12037,1.00287,0.09375,14.28515,3.0
town7_000548.png,GO,"0.05079, 0.94921",GO,"0.05079, 0.94921",False,,,,,,,,0.84211,,,3.0
town7_000549.png,GO,"0.13385, 0.86615",GO,"0.13385, 0.86615",False,,,,,,,,1.1644,,,3.0
town7_000560.png,GO,"0.33447, 0.66553",STOP,"0.33447, 0.66553",True,,27.0,0.68476,385.53031,22.27022,0.98098,0.24241,0.87252,0.09375,8.69806,3.0
town7_000562.png,GO,"0.33123, 0.66877",STOP,"0.33123, 0.66877",True,,27.0,0.67953,405.70586,22.04869,0.97967,0.23712,0.9239,0.09375,9.31897,3.0
town7_000566.png,GO,"0.32867, 0.67133",STOP,"0.32867, 0.67133",True,,27.0,0.67994,404.0287,22.06668,0.97987,0.23035,0.99811,0.09375,9.58697,3.0
town7_000567.png,GO,"0.34629, 0.65371",STOP,"0.34629, 0.65371",True,,27.0,0.66895,413.57633,21.96525,0.97937,0.21797,1.00256,0.09375,8.87166,3.0
town7_000569.png,GO,"0.34829, 0.65171",STOP,"0.34829, 0.65171",True,,27.0,0.66812,419.75477,21.90085,0.9788,0.21907,1.08912,0.09375,9.16848,3.0
town7_000587.png,GO,"0.13935, 0.86065",GO,"0.13935, 0.86065",False,,,,,,,,0.84376,,,3.0
town7_000588.png,GO,"0.12509, 0.87491",STOP,"0.12509, 0.87491",True,,22.0,0.65253,782.41956,19.19641,0.95744,0.16089,0.95103,0.09375,14.83813,3.0
town7_000592.png,GO,"0.04177, 0.95823",GO,"0.04177, 0.95823",False,,,,,,,,0.82453,,,3.0
town7_000595.png,GO,"0.31935, 0.68065",GO,"0.31935, 0.68065",False,,,,,,,,0.81727,,,3.0
town7_000597.png,GO,"0.32484, 0.67516",GO,"0.32484, 0.67516",False,,,,,,,,0.67179,,,3.0
town7_000602.png,GO,"0.31308, 0.68692",GO,"0.31308, 0.68692",False,,,,,,,,0.76997,,,3.0
town7_000603.png,GO,"0.30111, 0.69889",STOP,"0.30111, 0.69889",True,,27.0,0.71107,425.52992,21.8415,0.97914,0.28378,0.89013,0.09375,10.18448,3.0
town7_000604.png,GO,"0.2961, 0.7039",GO,"0.2961, 0.7039",False,,,,,,,,0.68422,,,3.0
town7_000615.png,GO,"0.32794, 0.67206",GO,"0.32794, 0.67206",False,,,,,,,,0.74132,,,3.0
town7_000616.png,GO,"0.32127, 0.67873",GO,"0.32127, 0.67873",False,,,,,,,,0.69327,,,3.0
town7_000621.png,GO,"0.27665, 0.72335",STOP,"0.27665, 0.72335",True,,27.0,0.71087,435.01945,21.74572,0.9788,0.29333,0.86699,0.09375,10.97857,3.0
town7_000628.png,GO,"0.32072, 0.67928",STOP,"0.32072, 0.67928",True,,82.0,0.73958,171.37344,25.79137,0.98957,0.30134,0.51033,0.02344,6.20995,3.0
town7_000633.png,GO,"0.3074, 0.6926",STOP,"0.3074, 0.6926",True,,54.0,0.79548,116.2137,27.47823,0.99306,0.32675,0.40525,0.02344,4.51313,3.0
town7_000647.png,GO,"0.22676, 0.77324",STOP,"0.22676, 0.77324",True,,17.0,0.64916,637.30784,20.08731,0.96253,0.20824,0.9107,0.09375,12.08044,3.0
town7_000655.png,GO,"0.15529, 0.84471",GO,"0.15529, 0.84471",False,,,,,,,,0.74714,,,3.0
town7_000659.png,GO,"0.25652, 0.74348",GO,"0.25652, 0.74348",False,,,,,,,,0.81148,,,3.0
town7_000661.png,GO,"0.31103, 0.68897",GO,"0.31103, 0.68897",False,,,,,,,,0.73169,,,3.0
town7_000664.png,GO,"0.29797, 0.70203",GO,"0.29797, 0.70203",False,,,,,,,,0.69219,,,3.0
town7_000668.png,GO,"0.28216, 0.71784",GO,"0.28216, 0.71784",False,,,,,,,,0.78911,,,3.0
town7_000671.png,GO,"0.32492, 0.67508",STOP,"0.32492, 0.67508",True,,27.0,0.72401,337.57445,22.84711,0.97684,0.29497,0.88599,0.09375,9.17705,3.0
town7_000688.png,GO,"0.27957, 0.72043",GO,"0.27957, 0.72043",False,,,,,,,,0.74249,,,3.0
town7_000691.png,STOP,"0.90524, 0.09476",GO,"0.90524, 0.09476",True,,29.0,0.8112,179.68125,25.58578,0.99161,0.35558,0.30397,0.02344,5.3485,3.0
town7_000692.png,STOP,"0.85153, 0.14847",GO,"0.85153, 0.14847",True,,17.0,0.80905,166.17698,25.9251,0.99303,0.34761,0.26886,0.02344,4.76503,3.0
town7_000695.png,STOP,"0.62843, 0.37157",GO,"0.62843, 0.37157",True,,0.0,0.81565,157.38057,26.16129,0.99487,0.37291,0.15418,0.02344,4.16082,3.0
town7_000702.png,STOP,"0.72645, 0.27355",GO,"0.72645, 0.27355",True,,0.0,0.81189,161.33281,26.05358,0.99471,0.37243,0.18811,0.02344,4.16702,3.0
town7_000704.png,STOP,"0.77567, 0.22433",GO,"0.77567, 0.22433",True,,0.0,0.8106,161.12896,26.05907,0.99457,0.36849,0.17587,0.02344,4.27455,3.0
town7_000728.png,GO,"0.31339, 0.68661",STOP,"0.31339, 0.68661",True,,11.0,0.67821,710.88042,19.61284,0.97072,0.17306,0.72145,0.09375,12.55248,3.0
town7_000736.png,GO,"0.30682, 0.69318",GO,"0.30682, 0.69318",False,,,,,,,,0.71926,,,3.0
town7_000740.png,GO,"0.30401, 0.69599",STOP,"0.30401, 0.69599",True,,11.0,0.66791,740.6787,19.43451,0.96801,0.18319,0.73459,0.09375,13.52173,3.0
town7_000743.png,GO,"0.32097, 0.67903",STOP,"0.32097, 0.67903",True,,11.0,0.67542,751.39945,19.37209,0.96507,0.17916,0.78627,0.09375,12.49245,3.0
town7_000751.png,GO,"0.30997, 0.69003",STOP,"0.30997, 0.69003",True,,11.0,0.66121,722.24885,19.54393,0.96981,0.1787,0.78953,0.09375,12.25877,3.0
town7_000770.png,STOP,"0.95734, 0.04266",GO,"0.95734, 0.04266",True,,0.0,0.77452,366.40286,22.49122,0.97095,0.31746,0.66884,0.09375,9.1711,3.0
town7_000774.png,STOP,"0.96556, 0.03444",GO,"0.96556, 0.03444",True,,0.0,0.76547,370.30594,22.4452,0.97184,0.31001,0.84223,0.09375,9.10456,3.0
town7_000780.png,STOP,"0.97411, 0.02589",GO,"0.97411, 0.02589",True,,0.0,0.75959,390.35521,22.2162,0.97042,0.30275,0.7596,0.09375,9.69731,3.0
town7_000784.png,STOP,"0.96484, 0.03516",GO,"0.96484, 0.03516",True,,0.0,0.75832,393.12216,22.18553,0.96993,0.29973,0.72397,0.09375,9.59311,3.0
town7_000792.png,STOP,"0.95949, 0.04051",GO,"0.95949, 0.04051",True,,0.0,0.75223,417.8825,21.92026,0.96851,0.29229,0.70276,0.09375,9.82799,3.0
town7_000796.png,STOP,"0.96671, 0.03329",GO,"0.96671, 0.03329",True,,0.0,0.75267,424.04242,21.85671,0.96777,0.29332,0.79269,0.09375,9.89507,3.0
town7_000798.png,STOP,"0.97077, 0.02923",GO,"0.97077, 0.02923",True,,0.0,0.76421,376.13112,22.37741,0.97108,0.31141,0.72756,0.09375,9.1,3.0
town7_000800.png,STOP,"0.97368, 0.02632",GO,"0.97368, 0.02632",True,,1.0,0.73996,426.86354,21.82791,0.96742,0.26864,0.87566,0.09375,11.41778,3.0
town7_000804.png,STOP,"0.96767, 0.03233",GO,"0.96767, 0.03233",True,,0.0,0.7571,397.26159,22.14004,0.96968,0.30218,0.7564,0.09375,9.57181,3.0
town7_000813.png,STOP,"0.67095, 0.32905",GO,"0.67095, 0.32905",True,,3.0,0.79112,154.25159,26.24851,0.99462,0.31598,0.2,0.02344,3.66647,3.0
town7_000814.png,GO,"0.32828, 0.67172",STOP,"0.32828, 0.67172",True,,27.0,0.73239,214.57753,24.81496,0.99405,0.26038,0.32258,0.02344,5.34792,3.0
town7_000815.png,GO,"0.29906, 0.70094",GO,"0.29906, 0.70094",False,,,,,,,,0.6876,,,3.0
