Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Objects Detected,Time Taken (s)
town7_000154.png,GO,"0.32132, 0.67868",GO,"0.32132, 0.67868",False,,,,,,,,,0.10398
town7_000156.png,GO,"0.27351, 0.72649",GO,"0.27351, 0.72649",False,,,,,,,,,0.04822
town7_000174.png,GO,"0.31986, 0.68014",GO,"0.31986, 0.68014",False,,,,,,,,,0.08075
town7_000179.png,GO,"0.29897, 0.70103",GO,"0.27217, 0.72783",False,"(53, 26, 65, 42)","(53, 26, 65, 42)",,,,,,truck,0.11712
town7_000183.png,GO,"0.33004, 0.66996",GO,"0.29887, 0.70113",False,"(9, 0, 46, 44)","(9, 0, 46, 44)",,,,,,stop sign,0.12529
town7_000189.png,GO,"0.32377, 0.67623",GO,"0.32377, 0.67623",False,,,,,,,,,0.04947
town7_000190.png,GO,"0.29948, 0.70052",GO,"0.29948, 0.70052",False,,,,,,,,,0.03028
town7_000191.png,GO,"0.2834, 0.7166",GO,"0.2834, 0.7166",False,,,,,,,,,0.07223
town7_000204.png,GO,"0.31918, 0.68082",GO,"0.31918, 0.68082",False,,,,,,,,,0.04889
town7_000205.png,GO,"0.31857, 0.68143",GO,"0.31857, 0.68143",False,,,,,,,,,0.07461
town7_000215.png,GO,"0.24313, 0.75687",GO,"0.24313, 0.75687",False,,,,,,,,,0.06708
town7_000216.png,GO,"0.23495, 0.76505",GO,"0.22618, 0.77382",False,"(90, 15, 93, 18)","(90, 15, 93, 18)",,,,,,kite,0.05326
town7_000218.png,GO,"0.20522, 0.79478",GO,"0.2113, 0.7887",False,"(16, 17, 20, 22)","(16, 17, 20, 22)",,,,,,kite,0.12958
town7_000229.png,GO,"0.32516, 0.67484",GO,"0.32516, 0.67484",False,,,,,,,,,0.11011
town7_000238.png,GO,"0.34667, 0.65333",GO,"0.34667, 0.65333",False,,,,,,,,,0.09705
town7_000242.png,GO,"0.34514, 0.65486",GO,"0.34514, 0.65486",False,,,,,,,,,0.10287
town7_000246.png,GO,"0.34212, 0.65788",GO,"0.34212, 0.65788",False,,,,,,,,,0.07867
town7_000252.png,STOP,"0.53902, 0.46098",STOP,"0.75345, 0.24655",False,"(97, 31, 104, 40)","(97, 31, 104, 40)",,,,,,stop sign,0.13047
town7_000260.png,STOP,"0.85794, 0.14206",GO,"0.40016, 0.59984",True,"(123, 21, 139, 37)","(123, 21, 139, 37)",0.68538,567.7226,20.58944,0.96952,0.23141,stop sign,0.73455
town7_000261.png,STOP,"0.84443, 0.15557",GO,"0.40095, 0.59905",True,"(123, 22, 138, 37)","(123, 22, 138, 37)",0.69402,528.09349,20.9037,0.97242,0.23767,stop sign,0.50169
town7_000262.png,STOP,"0.79949, 0.20051",GO,"0.38818, 0.61182",True,"(123, 22, 139, 38)","(123, 22, 139, 38)",0.68345,563.24622,20.62382,0.9698,0.22961,stop sign,0.38364
town7_000263.png,STOP,"0.82229, 0.17771",GO,"0.39015, 0.60985",True,"(123, 22, 139, 38)","(123, 22, 139, 38)",0.67794,573.94188,20.54212,0.96973,0.22565,stop sign,0.55243
town7_000265.png,STOP,"0.80466, 0.19534",GO,"0.48464, 0.51536",True,"(123, 22, 139, 38)","(123, 22, 139, 38)",0.67929,577.56792,20.51477,0.96921,0.22395,stop sign,0.38258
town7_000269.png,STOP,"0.78459, 0.21541",GO,"0.39345, 0.60655",True,"(122, 22, 139, 38)","(122, 22, 139, 38)",0.67113,611.56096,20.26641,0.96736,0.22321,stop sign,0.73724
town7_000273.png,STOP,"0.76678, 0.23322",GO,"0.36979, 0.63021",True,"(123, 22, 139, 38)","(123, 22, 139, 38)",0.68261,588.79714,20.43115,0.96829,0.22688,stop sign,0.78082
town7_000289.png,GO,"0.30872, 0.69128",GO,"0.27933, 0.72067",False,"(102, 37, 118, 46)","(102, 37, 118, 46)",,,,,,train,0.10187
town7_000290.png,GO,"0.32803, 0.67197",GO,"0.30992, 0.69008",False,"(91, 36, 105, 46)","(91, 36, 105, 46)",,,,,,truck,0.14552
town7_000296.png,GO,"0.31038, 0.68962",GO,"0.31038, 0.68962",False,,,,,,,,,0.10536
town7_000302.png,GO,"0.32297, 0.67703",GO,"0.32297, 0.67703",False,,,,,,,,,0.12385
town7_000309.png,GO,"0.28978, 0.71022",GO,"0.23121, 0.76879",False,"(98, 35, 117, 46)","(98, 35, 117, 46)",,,,,,train,0.10235
town7_000312.png,GO,"0.32666, 0.67334",GO,"0.32706, 0.67294",False,"(113, 28, 159, 54)","(113, 28, 159, 54)",,,,,,banana,0.14183
town7_000314.png,GO,"0.30157, 0.69843",GO,"0.30157, 0.69843",False,,,,,,,,,0.10233
town7_000315.png,GO,"0.30882, 0.69118",GO,"0.30943, 0.69057",False,"(94, 31, 97, 38)","(94, 31, 97, 38)",,,,,,person,0.10094
town7_000319.png,GO,"0.30103, 0.69897",GO,"0.30103, 0.69897",False,,,,,,,,,0.08895
town7_000324.png,GO,"0.30811, 0.69189",GO,"0.30811, 0.69189",False,,,,,,,,,0.11965
town7_000327.png,GO,"0.29947, 0.70053",GO,"0.29947, 0.70053",False,,,,,,,,,0.10478
town7_000335.png,STOP,"0.75033, 0.24967",STOP,"0.75033, 0.24967",False,,,,,,,,,0.14063
town7_000337.png,STOP,"0.97595, 0.02405",STOP,"0.97595, 0.02405",False,,,,,,,,,0.13252
town7_000343.png,STOP,"0.97496, 0.02504",STOP,"0.97496, 0.02504",False,,,,,,,,,0.07765
town7_000345.png,STOP,"0.97757, 0.02243",STOP,"0.97757, 0.02243",False,,,,,,,,,0.06179
town7_000346.png,STOP,"0.97298, 0.02702",STOP,"0.97298, 0.02702",False,,,,,,,,,0.06361
town7_000361.png,STOP,"0.97407, 0.02593",STOP,"0.97407, 0.02593",False,,,,,,,,,0.13134
town7_000375.png,STOP,"0.96751, 0.03249",STOP,"0.96751, 0.03249",False,,,,,,,,,0.077
town7_000376.png,STOP,"0.97871, 0.02129",STOP,"0.97871, 0.02129",False,,,,,,,,,0.09594
town7_000377.png,STOP,"0.98293, 0.01707",STOP,"0.98293, 0.01707",False,,,,,,,,,0.11188
town7_000383.png,STOP,"0.97623, 0.02377",STOP,"0.97623, 0.02377",False,,,,,,,,,0.10499
town7_000386.png,STOP,"0.96894, 0.03106",STOP,"0.97563, 0.02437",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.12909
town7_000392.png,STOP,"0.97489, 0.02511",STOP,"0.97174, 0.02826",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.12489
town7_000397.png,STOP,"0.97549, 0.02451",STOP,"0.97645, 0.02355",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.11709
town7_000403.png,STOP,"0.97611, 0.02389",STOP,"0.97611, 0.02389",False,,,,,,,,,0.1056
town7_000407.png,STOP,"0.97809, 0.02191",STOP,"0.97809, 0.02191",False,,,,,,,,,0.09589
town7_000409.png,STOP,"0.97752, 0.02248",STOP,"0.97291, 0.02709",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.13882
town7_000411.png,STOP,"0.9783, 0.0217",STOP,"0.96418, 0.03582",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.10758
town7_000414.png,STOP,"0.96635, 0.03365",STOP,"0.96635, 0.03365",False,,,,,,,,,0.12046
town7_000415.png,STOP,"0.97298, 0.02702",STOP,"0.97298, 0.02702",False,,,,,,,,,0.07133
town7_000417.png,STOP,"0.97314, 0.02686",STOP,"0.97314, 0.02686",False,,,,,,,,,0.11353
town7_000422.png,STOP,"0.9767, 0.0233",STOP,"0.9767, 0.0233",False,,,,,,,,,0.08399
town7_000432.png,STOP,"0.97319, 0.02681",STOP,"0.96672, 0.03328",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.09327
town7_000441.png,STOP,"0.97371, 0.02629",STOP,"0.97045, 0.02955",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.09056
town7_000443.png,STOP,"0.97859, 0.02141",STOP,"0.97092, 0.02908",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.11774
town7_000444.png,STOP,"0.97661, 0.02339",STOP,"0.96769, 0.03231",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.103
town7_000448.png,STOP,"0.97351, 0.02649",STOP,"0.96383, 0.03617",False,"(56, 15, 58, 20)","(56, 15, 58, 20)",,,,,,traffic light,0.09139
town7_000457.png,STOP,"0.9687, 0.0313",STOP,"0.97353, 0.02647",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.11323
town7_000460.png,STOP,"0.9762, 0.0238",STOP,"0.9762, 0.0238",False,,,,,,,,,0.0836
town7_000463.png,STOP,"0.966, 0.034",STOP,"0.966, 0.034",False,,,,,,,,,0.09689
town7_000468.png,STOP,"0.97572, 0.02428",STOP,"0.97039, 0.02961",False,"(56, 15, 58, 20)","(56, 15, 58, 20)",,,,,,traffic light,0.10759
town7_000471.png,STOP,"0.97828, 0.02172",STOP,"0.95815, 0.04185",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.05536
town7_000484.png,STOP,"0.97752, 0.02248",STOP,"0.96721, 0.03279",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.08853
town7_000494.png,STOP,"0.96788, 0.03212",STOP,"0.96066, 0.03934",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.10705
town7_000496.png,STOP,"0.95992, 0.04007",STOP,"0.97067, 0.02933",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.0837
town7_000498.png,STOP,"0.96468, 0.03532",STOP,"0.97207, 0.02793",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.13387
town7_000499.png,STOP,"0.97844, 0.02156",STOP,"0.96036, 0.03964",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.10733
town7_000500.png,STOP,"0.97498, 0.02502",STOP,"0.97498, 0.02502",False,,,,,,,,,0.11263
town7_000503.png,STOP,"0.95884, 0.04116",STOP,"0.97045, 0.02955",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.09022
town7_000505.png,STOP,"0.9693, 0.0307",STOP,"0.9693, 0.0307",False,,,,,,,,,0.06752
town7_000507.png,STOP,"0.9698, 0.0302",STOP,"0.9698, 0.0302",False,,,,,,,,,0.07715
town7_000508.png,STOP,"0.97168, 0.02832",STOP,"0.97168, 0.02832",False,,,,,,,,,0.07557
town7_000511.png,STOP,"0.96436, 0.03564",STOP,"0.96436, 0.03564",False,,,,,,,,,0.10974
town7_000518.png,STOP,"0.97366, 0.02634",STOP,"0.97366, 0.02634",False,,,,,,,,,0.09978
town7_000519.png,STOP,"0.96978, 0.03022",STOP,"0.96547, 0.03453",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.11426
town7_000524.png,STOP,"0.97086, 0.02914",STOP,"0.96878, 0.03122",False,"(56, 16, 58, 20)","(56, 16, 58, 20)",,,,,,traffic light,0.14773
town7_000530.png,STOP,"0.9737, 0.0263",STOP,"0.9737, 0.0263",False,,,,,,,,,0.12604
town7_000535.png,STOP,"0.94182, 0.05818",STOP,"0.94182, 0.05818",False,,,,,,,,,0.11262
town7_000538.png,GO,"0.31885, 0.68115",GO,"0.31146, 0.68854",False,"(39, 3, 42, 8)","(39, 3, 42, 8)",,,,,,bird,0.08655
town7_000548.png,GO,"0.05375, 0.94625",GO,"0.04496, 0.95504",False,"(140, 27, 160, 45)","(140, 27, 160, 45)",,,,,,train,0.10054
town7_000549.png,GO,"0.13104, 0.86896",GO,"0.13104, 0.86896",False,,,,,,,,,0.11304
town7_000560.png,GO,"0.33694, 0.66306",GO,"0.33694, 0.66306",False,,,,,,,,,0.07929
town7_000562.png,GO,"0.32128, 0.67872",GO,"0.32128, 0.67872",False,,,,,,,,,0.05102
town7_000566.png,GO,"0.33849, 0.66151",GO,"0.33849, 0.66151",False,,,,,,,,,0.07691
town7_000567.png,GO,"0.3388, 0.6612",GO,"0.3388, 0.6612",False,,,,,,,,,0.07638
town7_000569.png,GO,"0.34087, 0.65913",GO,"0.34087, 0.65913",False,,,,,,,,,0.08501
town7_000587.png,GO,"0.1475, 0.8525",GO,"0.1475, 0.8525",False,,,,,,,,,0.08725
town7_000588.png,GO,"0.13506, 0.86494",GO,"0.13506, 0.86494",False,,,,,,,,,0.09067
town7_000592.png,GO,"0.04039, 0.95961",GO,"0.00359, 0.99641",False,"(37, 9, 97, 43)","(37, 9, 97, 43)",,,,,,train,0.11559
town7_000595.png,GO,"0.32147, 0.67853",GO,"0.02014, 0.97986",False,"(0, 0, 69, 47)","(0, 0, 69, 47)",,,,,,train,0.08388
town7_000597.png,GO,"0.32048, 0.67952",GO,"0.04125, 0.95875",False,"(0, 0, 70, 45)","(0, 0, 70, 45)",,,,,,train,0.12605
town7_000602.png,GO,"0.31547, 0.68453",GO,"0.31547, 0.68453",False,,,,,,,,,0.08437
town7_000603.png,GO,"0.30138, 0.69862",GO,"0.30138, 0.69862",False,,,,,,,,,0.05463
town7_000604.png,GO,"0.29264, 0.70736",GO,"0.29264, 0.70736",False,,,,,,,,,0.07089
town7_000615.png,GO,"0.32803, 0.67197",GO,"0.32803, 0.67197",False,,,,,,,,,0.12171
town7_000616.png,GO,"0.31494, 0.68506",GO,"0.31494, 0.68506",False,,,,,,,,,0.07387
town7_000621.png,GO,"0.27952, 0.72048",GO,"0.27952, 0.72048",False,,,,,,,,,0.07906
town7_000628.png,GO,"0.32619, 0.67381",GO,"0.33693, 0.66307",False,"(0, 0, 34, 43)","(0, 0, 34, 43)",,,,,,stop sign,0.11502
town7_000633.png,GO,"0.32031, 0.67969",GO,"0.32031, 0.67969",False,,,,,,,,,0.10538
town7_000647.png,GO,"0.20955, 0.79045",GO,"0.1973, 0.8027",False,"(107, 12, 111, 17)","(107, 12, 111, 17)",,,,,,kite,0.10182
town7_000655.png,GO,"0.15036, 0.84964",GO,"0.15036, 0.84964",False,,,,,,,,,0.0946
town7_000659.png,GO,"0.25992, 0.74008",GO,"0.25992, 0.74008",False,,,,,,,,,0.09114
town7_000661.png,GO,"0.30442, 0.69558",GO,"0.30442, 0.69558",False,,,,,,,,,0.0705
town7_000664.png,GO,"0.29433, 0.70567",GO,"0.29433, 0.70567",False,,,,,,,,,0.08048
town7_000668.png,GO,"0.28518, 0.71482",GO,"0.28518, 0.71482",False,,,,,,,,,0.05424
town7_000671.png,GO,"0.32357, 0.67643",GO,"0.32357, 0.67643",False,,,,,,,,,0.05182
town7_000688.png,GO,"0.27869, 0.72131",GO,"0.30138, 0.69862",False,"(111, 26, 125, 39)","(111, 26, 125, 39)",,,,,,stop sign,0.06655
town7_000691.png,STOP,"0.89896, 0.10104",GO,"0.36834, 0.63166",True,"(131, 17, 151, 37)","(131, 17, 151, 37)",0.71635,711.47609,19.6092,0.96112,0.27094,stop sign,0.64622
town7_000692.png,STOP,"0.89361, 0.10639",GO,"0.36138, 0.63862",True,"(131, 18, 150, 37)","(131, 18, 150, 37)",0.71057,728.81521,19.50463,0.96087,0.26971,stop sign,0.61543
town7_000695.png,STOP,"0.70791, 0.29209",GO,"0.34355, 0.65645",True,"(131, 18, 150, 37)","(131, 18, 150, 37)",0.70208,730.08341,19.49708,0.96159,0.26499,stop sign,0.42807
town7_000702.png,STOP,"0.7539, 0.2461",GO,"0.29587, 0.70414",True,"(131, 18, 150, 37)","(131, 18, 150, 37)",0.69464,751.81185,19.36971,0.96024,0.26314,stop sign,0.59236
town7_000704.png,STOP,"0.7718, 0.2282",GO,"0.30399, 0.69601",True,"(131, 18, 150, 37)","(131, 18, 150, 37)",0.6909,725.64688,19.52355,0.96164,0.25886,stop sign,0.51047
town7_000728.png,GO,"0.31811, 0.68189",GO,"0.31811, 0.68189",False,,,,,,,,,0.12043
town7_000736.png,GO,"0.3038, 0.6962",GO,"0.3038, 0.6962",False,,,,,,,,,0.09766
town7_000740.png,GO,"0.31404, 0.68596",GO,"0.31404, 0.68596",False,,,,,,,,,0.08125
town7_000743.png,GO,"0.31744, 0.68256",GO,"0.31744, 0.68256",False,,,,,,,,,0.1048
town7_000751.png,GO,"0.30641, 0.69359",GO,"0.30641, 0.69359",False,,,,,,,,,0.08981
town7_000770.png,STOP,"0.9673, 0.0327",STOP,"0.9673, 0.0327",False,,,,,,,,,0.09114
town7_000774.png,STOP,"0.95753, 0.04247",STOP,"0.95753, 0.04247",False,,,,,,,,,0.11573
town7_000780.png,STOP,"0.97472, 0.02528",STOP,"0.97472, 0.02528",False,,,,,,,,,0.07762
town7_000784.png,STOP,"0.96303, 0.03697",STOP,"0.96303, 0.03697",False,,,,,,,,,0.10279
town7_000792.png,STOP,"0.96186, 0.03814",STOP,"0.96186, 0.03814",False,,,,,,,,,0.09219
town7_000796.png,STOP,"0.97656, 0.02344",STOP,"0.97656, 0.02344",False,,,,,,,,,0.10301
town7_000798.png,STOP,"0.96608, 0.03392",STOP,"0.96608, 0.03392",False,,,,,,,,,0.0671
town7_000800.png,STOP,"0.9634, 0.0366",STOP,"0.9634, 0.0366",False,,,,,,,,,0.05587
town7_000804.png,STOP,"0.9658, 0.0342",STOP,"0.9658, 0.0342",False,,,,,,,,,0.07586
town7_000813.png,STOP,"0.62163, 0.37837",STOP,"0.62163, 0.37837",False,,,,,,,,,0.08706
town7_000814.png,GO,"0.33379, 0.66621",GO,"0.33379, 0.66621",False,,,,,,,,,0.08412
town7_000815.png,GO,"0.29554, 0.70446",GO,"0.29554, 0.70446",False,,,,,,,,,0.06042
town7_000821.png,GO,"0.15837, 0.84163",GO,"0.12557, 0.87443",False,"(20, 1, 24, 8)","(20, 1, 24, 8)",,,,,,kite,0.08073
town7_000828.png,GO,"0.31505, 0.68495",GO,"0.31505, 0.68495",False,,,,,,,,,0.05832
town7_000832.png,GO,"0.33581, 0.66419",GO,"0.33581, 0.66419",False,,,,,,,,,0.07324
town7_000834.png,GO,"0.32803, 0.67197",GO,"0.32803, 0.67197",False,,,,,,,,,0.06178
town7_000849.png,GO,"0.34511, 0.65489",GO,"0.27094, 0.72906",False,"(90, 20, 158, 42)","(90, 20, 158, 42)",,,,,,train,0.04499
town7_000863.png,GO,"0.16118, 0.83882",GO,"0.16118, 0.83882",False,,,,,,,,,0.07758
town7_000864.png,GO,"0.15419, 0.84581",GO,"0.15419, 0.84581",False,,,,,,,,,0.04691
town7_000865.png,GO,"0.13393, 0.86607",GO,"0.13393, 0.86607",False,,,,,,,,,0.06753
town7_000879.png,GO,"0.30861, 0.69139",GO,"0.30861, 0.69139",False,,,,,,,,,0.06317
town7_000886.png,GO,"0.32007, 0.67993",GO,"0.30494, 0.69506",False,"(8, 0, 46, 43)","(8, 0, 46, 43)",,,,,,stop sign,0.0804
town7_000887.png,GO,"0.31098, 0.68902",GO,"0.31098, 0.68902",False,,,,,,,,,0.07444
town7_000900.png,GO,"0.32917, 0.67083",GO,"0.32917, 0.67083",False,,,,,,,,,0.09285
town7_000901.png,GO,"0.32896, 0.67104",GO,"0.33502, 0.66498",False,"(1, 0, 44, 43)","(1, 0, 44, 43)",,,,,,stop sign,0.07327
town7_000905.png,GO,"0.32822, 0.67178",GO,"0.32822, 0.67178",False,,,,,,,,,0.09374
town7_000908.png,GO,"0.34549, 0.65451",GO,"0.34549, 0.65451",False,,,,,,,,,0.08083
town7_000919.png,GO,"0.24585, 0.75415",GO,"0.24202, 0.75798",False,"(55, 4, 59, 12)","(55, 4, 59, 12)",,,,,,traffic light,0.10652
town7_000922.png,GO,"0.25103, 0.74897",GO,"0.2492, 0.7508",False,"(22, 0, 27, 4)","(22, 0, 27, 4)",,,,,,traffic light,0.12943
town7_000935.png,GO,"0.31512, 0.68488",GO,"0.31512, 0.68488",False,,,,,,,,,0.08033
town7_000940.png,GO,"0.29803, 0.70197",GO,"0.29803, 0.70197",False,,,,,,,,,0.10788
town7_000952.png,GO,"0.32895, 0.67105",GO,"0.32895, 0.67105",False,,,,,,,,,0.08883
town7_000953.png,GO,"0.31924, 0.68076",GO,"0.31924, 0.68076",False,,,,,,,,,0.08178
town7_000955.png,GO,"0.30451, 0.69549",GO,"0.30451, 0.69549",False,,,,,,,,,0.08081
town7_000959.png,GO,"0.35887, 0.64113",GO,"0.35341, 0.64659",False,"(96, 32, 103, 41)","(96, 32, 103, 41)",,,,,,stop sign,0.08313
town7_000969.png,STOP,"0.80728, 0.19272",GO,"0.34181, 0.65819",True,"(133, 17, 152, 37)","(133, 17, 152, 37)",0.69331,748.76747,19.38733,0.95957,0.24864,stop sign,0.49412
town7_000971.png,STOP,"0.8473, 0.1527",GO,"0.29956, 0.70044",True,"(133, 17, 152, 37)","(133, 17, 152, 37)",0.68698,767.19409,19.28175,0.95831,0.2461,stop sign,0.26639
town7_000974.png,STOP,"0.82184, 0.17816",GO,"0.28236, 0.71764",True,"(133, 17, 152, 37)","(133, 17, 152, 37)",0.68551,752.01445,19.36854,0.95931,0.24363,stop sign,0.39371
town7_000979.png,STOP,"0.84691, 0.15309",GO,"0.28469, 0.71531",True,"(133, 17, 152, 37)","(133, 17, 152, 37)",0.68172,760.65419,19.31893,0.95897,0.23901,stop sign,0.34741
town7_000980.png,STOP,"0.82688, 0.17312",GO,"0.30773, 0.69227",True,"(133, 17, 152, 37)","(133, 17, 152, 37)",0.68838,735.59714,19.4644,0.96012,0.24562,stop sign,0.488
town7_000981.png,STOP,"0.71932, 0.28068",GO,"0.27007, 0.72993",True,"(133, 17, 153, 37)","(133, 17, 153, 37)",0.67789,775.25044,19.23638,0.9579,0.23374,stop sign,0.37544
town7_000984.png,GO,"0.21041, 0.78959",GO,"0.21041, 0.78959",False,,,,,,,,,0.09319
town7_000993.png,GO,"0.0631, 0.9369",GO,"0.0631, 0.9369",False,,,,,,,,,0.05552
town7_000997.png,GO,"0.33434, 0.66566",GO,"0.28808, 0.71192",False,"(93, 35, 109, 45)","(93, 35, 109, 45)",,,,,,truck,0.095
town7_001006.png,GO,"0.33046, 0.66954",GO,"0.33046, 0.66954",False,,,,,,,,,0.05466
town7_001007.png,GO,"0.32748, 0.67252",GO,"0.32748, 0.67252",False,,,,,,,,,0.0603
town7_001021.png,GO,"0.30904, 0.69096",GO,"0.30904, 0.69096",False,,,,,,,,,0.0996
town7_001031.png,GO,"0.3151, 0.6849",GO,"0.3151, 0.6849",False,,,,,,,,,0.04347
town7_001032.png,GO,"0.31056, 0.68944",GO,"0.31056, 0.68944",False,,,,,,,,,0.09101
town7_001034.png,GO,"0.31157, 0.68843",GO,"0.31157, 0.68843",False,,,,,,,,,0.07902
town7_001037.png,GO,"0.32239, 0.67761",GO,"0.32239, 0.67761",False,,,,,,,,,0.07055
town7_001048.png,STOP,"0.94265, 0.05735",STOP,"0.94265, 0.05735",False,,,,,,,,,0.07598
town7_001053.png,STOP,"0.94266, 0.05734",STOP,"0.95359, 0.04641",False,"(54, 14, 57, 18)","(54, 14, 57, 18)",,,,,,traffic light,0.11249
town7_001055.png,STOP,"0.94566, 0.05434",STOP,"0.94566, 0.05434",False,,,,,,,,,0.11649
town7_001057.png,STOP,"0.95005, 0.04995",STOP,"0.95005, 0.04995",False,,,,,,,,,0.11315
town7_001059.png,STOP,"0.96112, 0.03888",STOP,"0.96112, 0.03888",False,,,,,,,,,0.10941
town7_001064.png,STOP,"0.94767, 0.05233",STOP,"0.94767, 0.05233",False,,,,,,,,,0.10872
town7_001068.png,STOP,"0.95547, 0.04453",STOP,"0.95547, 0.04453",False,,,,,,,,,0.12141
town7_001074.png,STOP,"0.96475, 0.03525",STOP,"0.96475, 0.03525",False,,,,,,,,,0.11265
town7_001093.png,GO,"0.25669, 0.74331",GO,"0.24206, 0.75794",False,"(94, 13, 100, 17)","(94, 13, 100, 17)",,,,,,bird,0.11419
