Image File,Prediction (Before Masking),Confidence (Before Masking),Prediction (After Masking),Confidence (After Masking),Counterfactual Found,Grid Size,Grid Position,SSIM,MSE,PSNR,UQI,VIFP,Objects Detected,Time Taken (s),Sparsity,Proximity
town7_000156.png,LEFT,"0.00205, 0.18204, 0.0112, 0.80471",LEFT,"0.00205, 0.18204, 0.0112, 0.80471",False,,,,,,,,,0.01231,,
town7_000174.png,GO,"0.00045, 0.95376, 0.02808, 0.01771",GO,"0.00045, 0.95376, 0.02808, 0.01771",False,,,,,,,,,0.01242,,
town7_000179.png,GO,"0.00196, 0.90483, 0.08688, 0.00632",RIGHT,"0.00054, 0.37329, 0.62239, 0.00378",True,,,0.76873,189.19648,25.36167,0.98208,0.28742,,0.172,128.0,7.28085
town7_000183.png,GO,"0.00225, 0.94012, 0.01585, 0.04178",GO,"2e-05, 0.76746, 0.21993, 0.01259",False,,,,,,,,,0.01236,,
town7_000189.png,GO,"0.00569, 0.97087, 0.0161, 0.00734",GO,"0.00569, 0.97087, 0.0161, 0.00734",False,,,,,,,,,0.00998,,
town7_000190.png,GO,"0.00435, 0.97734, 0.01122, 0.0071",GO,"0.00435, 0.97734, 0.01122, 0.0071",False,,,,,,,,,0.00841,,
town7_000191.png,GO,"0.00311, 0.9569, 0.03238, 0.00761",GO,"0.00311, 0.9569, 0.03238, 0.00761",False,,,,,,,,,0.00791,,
town7_000204.png,GO,"0.05205, 0.94127, 0.00096, 0.00572",GO,"0.05205, 0.94127, 0.00096, 0.00572",False,,,,,,,,,0.00874,,
town7_000205.png,GO,"0.09612, 0.89041, 0.00048, 0.01299",GO,"0.09612, 0.89041, 0.00048, 0.01299",False,,,,,,,,,0.0084,,
town7_000215.png,GO,"0.1302, 0.86153, 0.00349, 0.00479",GO,"0.1302, 0.86153, 0.00349, 0.00479",False,,,,,,,,,0.01197,,
town7_000216.png,GO,"0.00582, 0.93383, 0.05388, 0.00646",GO,"0.01917, 0.73359, 0.24106, 0.00618",False,,,,,,,,,0.01443,,
town7_000218.png,GO,"0.00553, 0.53581, 0.37951, 0.07914",GO,"0.00163, 0.68246, 0.26841, 0.0475",False,,,,,,,,,0.01599,,
town7_000229.png,GO,"0.0001, 0.9923, 0.00502, 0.00258",GO,"0.0001, 0.9923, 0.00502, 0.00258",False,,,,,,,,,0.01729,,
town7_000238.png,GO,"0.00249, 0.99309, 0.0021, 0.00231",GO,"0.00249, 0.99309, 0.0021, 0.00231",False,,,,,,,,,0.01149,,
town7_000242.png,GO,"0.00189, 0.99399, 0.00118, 0.00294",GO,"0.00189, 0.99399, 0.00118, 0.00294",False,,,,,,,,,0.01271,,
town7_000246.png,GO,"0.00218, 0.99514, 0.00121, 0.00146",GO,"0.00218, 0.99514, 0.00121, 0.00146",False,,,,,,,,,0.01078,,
town7_000252.png,GO,"0.04601, 0.92995, 0.00086, 0.02318",GO,"0.04826, 0.93865, 0.00074, 0.01236",False,,,,,,,,,0.01311,,
town7_000260.png,STOP,"0.862, 0.13781, 3e-05, 0.00016",STOP,"0.53139, 0.46385, 0.00088, 0.00388",False,,,,,,,,,0.01324,,
town7_000261.png,STOP,"0.86472, 0.13509, 2e-05, 0.00017",STOP,"0.55695, 0.43711, 0.00161, 0.00433",False,,,,,,,,,0.01396,,
town7_000262.png,STOP,"0.84254, 0.15727, 4e-05, 0.00015",STOP,"0.57137, 0.42587, 0.00048, 0.00228",False,,,,,,,,,0.01256,,
town7_000263.png,STOP,"0.85667, 0.14312, 3e-05, 0.00018",GO,"0.40251, 0.58862, 0.00208, 0.00678",True,,,0.68254,565.75294,20.60454,0.96959,0.22783,,0.11768,128.0,10.35201
town7_000265.png,STOP,"0.85218, 0.14765, 4e-05, 0.00013",STOP,"0.55396, 0.43916, 0.00213, 0.00474",False,,,,,,,,,0.01274,,
town7_000269.png,STOP,"0.85279, 0.14685, 7e-05, 0.00029",GO,"0.41799, 0.57215, 0.00176, 0.00811",True,,,0.66991,618.44818,20.21777,0.96679,0.22112,,0.11615,128.0,11.18375
town7_000273.png,STOP,"0.8492, 0.15053, 6e-05, 0.00022",GO,"0.4712, 0.52022, 0.0028, 0.00579",True,,,0.68258,579.04341,20.50369,0.96917,0.22874,,0.12656,128.0,10.47945
town7_000289.png,RIGHT,"1e-05, 0.05767, 0.93868, 0.00364",RIGHT,"1e-05, 0.06897, 0.92724, 0.00378",False,,,,,,,,,0.0127,,
town7_000290.png,LEFT,"0.0003, 0.085, 0.35942, 0.55528",RIGHT,"0.00011, 0.2117, 0.53479, 0.2534",True,,,0.7433,176.31289,25.66796,0.99331,0.28271,,0.12022,128.0,5.37443
town7_000296.png,GO,"0.00014, 0.98024, 0.00393, 0.01569",GO,"0.00014, 0.98024, 0.00393, 0.01569",False,,,,,,,,,0.0093,,
town7_000302.png,GO,"0.00061, 0.98154, 0.00641, 0.01144",GO,"0.00061, 0.98154, 0.00641, 0.01144",False,,,,,,,,,0.00994,,
town7_000309.png,GO,"2e-05, 0.94536, 0.01274, 0.04188",GO,"3e-05, 0.95489, 0.02444, 0.02064",False,,,,,,,,,0.01375,,
town7_000312.png,GO,"0.00015, 0.99088, 0.00702, 0.00194",GO,"4e-05, 0.94635, 0.04643, 0.00718",False,,,,,,,,,0.01179,,
town7_000314.png,GO,"5e-05, 0.98846, 0.00443, 0.00706",GO,"5e-05, 0.98846, 0.00443, 0.00706",False,,,,,,,,,0.00909,,
town7_000315.png,GO,"0.00032, 0.97612, 0.01099, 0.01257",GO,"0.00016, 0.99405, 0.00141, 0.00437",False,,,,,,,,,0.01289,,
town7_000319.png,GO,"0.0009, 0.9551, 0.02973, 0.01427",GO,"0.0009, 0.9551, 0.02973, 0.01427",False,,,,,,,,,0.01046,,
town7_000324.png,GO,"3e-05, 0.98006, 0.01396, 0.00595",GO,"3e-05, 0.98006, 0.01396, 0.00595",False,,,,,,,,,0.0124,,
town7_000327.png,GO,"0.00012, 0.99228, 0.00241, 0.0052",GO,"0.00012, 0.99228, 0.00241, 0.0052",False,,,,,,,,,0.00937,,
town7_000335.png,GO,"0.34525, 0.64169, 0.01155, 0.00152",GO,"0.34525, 0.64169, 0.01155, 0.00152",False,,,,,,,,,0.0088,,
town7_000337.png,STOP,"0.94057, 0.05937, 1e-05, 5e-05",STOP,"0.94057, 0.05937, 1e-05, 5e-05",False,,,,,,,,,0.00874,,
town7_000343.png,STOP,"0.94441, 0.05555, 1e-05, 3e-05",STOP,"0.94441, 0.05555, 1e-05, 3e-05",False,,,,,,,,,0.00954,,
town7_000345.png,STOP,"0.93788, 0.06209, 1e-05, 2e-05",STOP,"0.93788, 0.06209, 1e-05, 2e-05",False,,,,,,,,,0.00883,,
town7_000346.png,STOP,"0.94321, 0.0567, 2e-05, 7e-05",STOP,"0.94321, 0.0567, 2e-05, 7e-05",False,,,,,,,,,0.0092,,
town7_000361.png,STOP,"0.94292, 0.05704, 1e-05, 2e-05",STOP,"0.94292, 0.05704, 1e-05, 2e-05",False,,,,,,,,,0.0093,,
town7_000375.png,STOP,"0.94965, 0.05032, 1e-05, 2e-05",STOP,"0.94965, 0.05032, 1e-05, 2e-05",False,,,,,,,,,0.00849,,
town7_000376.png,STOP,"0.95155, 0.04842, 1e-05, 2e-05",STOP,"0.95155, 0.04842, 1e-05, 2e-05",False,,,,,,,,,0.00871,,
town7_000377.png,STOP,"0.94338, 0.05659, 1e-05, 2e-05",STOP,"0.94338, 0.05659, 1e-05, 2e-05",False,,,,,,,,,0.0093,,
town7_000383.png,STOP,"0.95136, 0.04859, 2e-05, 3e-05",STOP,"0.95136, 0.04859, 2e-05, 3e-05",False,,,,,,,,,0.00896,,
town7_000386.png,STOP,"0.94185, 0.05809, 2e-05, 4e-05",STOP,"0.92478, 0.07508, 5e-05, 9e-05",False,,,,,,,,,0.01229,,
town7_000392.png,STOP,"0.95341, 0.04652, 2e-05, 5e-05",STOP,"0.93556, 0.06434, 3e-05, 6e-05",False,,,,,,,,,0.01288,,
town7_000397.png,STOP,"0.9524, 0.04757, 1e-05, 3e-05",STOP,"0.93685, 0.06309, 2e-05, 4e-05",False,,,,,,,,,0.013,,
town7_000403.png,STOP,"0.95217, 0.04781, 0.0, 2e-05",STOP,"0.95217, 0.04781, 0.0, 2e-05",False,,,,,,,,,0.00945,,
town7_000407.png,STOP,"0.95302, 0.04693, 2e-05, 4e-05",STOP,"0.95302, 0.04693, 2e-05, 4e-05",False,,,,,,,,,0.00859,,
town7_000409.png,STOP,"0.94184, 0.0581, 2e-05, 4e-05",STOP,"0.93621, 0.0637, 3e-05, 5e-05",False,,,,,,,,,0.01231,,
town7_000411.png,STOP,"0.93381, 0.06613, 2e-05, 5e-05",STOP,"0.92336, 0.07645, 8e-05, 0.00011",False,,,,,,,,,0.01248,,
town7_000414.png,STOP,"0.94811, 0.05184, 3e-05, 3e-05",STOP,"0.94811, 0.05184, 3e-05, 3e-05",False,,,,,,,,,0.00934,,
town7_000415.png,STOP,"0.95405, 0.0459, 2e-05, 3e-05",STOP,"0.95405, 0.0459, 2e-05, 3e-05",False,,,,,,,,,0.00867,,
town7_000417.png,STOP,"0.94176, 0.05819, 1e-05, 3e-05",STOP,"0.94176, 0.05819, 1e-05, 3e-05",False,,,,,,,,,0.00931,,
town7_000422.png,STOP,"0.94317, 0.05678, 2e-05, 3e-05",STOP,"0.94317, 0.05678, 2e-05, 3e-05",False,,,,,,,,,0.00865,,
town7_000432.png,STOP,"0.94784, 0.05213, 1e-05, 2e-05",STOP,"0.93094, 0.06901, 2e-05, 4e-05",False,,,,,,,,,0.01236,,
town7_000441.png,STOP,"0.9325, 0.06743, 3e-05, 4e-05",STOP,"0.94407, 0.05587, 3e-05, 3e-05",False,,,,,,,,,0.01267,,
town7_000443.png,STOP,"0.94078, 0.05913, 4e-05, 5e-05",STOP,"0.93952, 0.06043, 2e-05, 3e-05",False,,,,,,,,,0.01254,,
town7_000444.png,STOP,"0.9332, 0.06671, 2e-05, 6e-05",STOP,"0.93009, 0.06984, 2e-05, 5e-05",False,,,,,,,,,0.01297,,
town7_000448.png,STOP,"0.92962, 0.07032, 1e-05, 4e-05",STOP,"0.92361, 0.07629, 4e-05, 6e-05",False,,,,,,,,,0.01309,,
town7_000457.png,STOP,"0.93004, 0.06985, 4e-05, 7e-05",STOP,"0.92992, 0.07, 3e-05, 5e-05",False,,,,,,,,,0.01236,,
town7_000460.png,STOP,"0.94297, 0.05701, 1e-05, 2e-05",STOP,"0.94297, 0.05701, 1e-05, 2e-05",False,,,,,,,,,0.00966,,
town7_000463.png,STOP,"0.94381, 0.05617, 1e-05, 1e-05",STOP,"0.94381, 0.05617, 1e-05, 1e-05",False,,,,,,,,,0.00921,,
town7_000468.png,STOP,"0.92548, 0.07437, 5e-05, 9e-05",STOP,"0.92464, 0.07531, 2e-05, 3e-05",False,,,,,,,,,0.01225,,
town7_000471.png,STOP,"0.93485, 0.06502, 6e-05, 6e-05",STOP,"0.93455, 0.06529, 7e-05, 8e-05",False,,,,,,,,,0.01217,,
town7_000484.png,STOP,"0.94512, 0.05481, 5e-05, 3e-05",STOP,"0.92949, 0.07043, 4e-05, 4e-05",False,,,,,,,,,0.01203,,
town7_000494.png,STOP,"0.93542, 0.06449, 4e-05, 5e-05",STOP,"0.9331, 0.06674, 5e-05, 0.00011",False,,,,,,,,,0.0125,,
town7_000496.png,STOP,"0.91862, 0.08125, 5e-05, 9e-05",STOP,"0.94399, 0.05596, 2e-05, 4e-05",False,,,,,,,,,0.01261,,
town7_000498.png,STOP,"0.94288, 0.05707, 2e-05, 3e-05",STOP,"0.91097, 0.08876, 0.00015, 0.00012",False,,,,,,,,,0.01508,,
town7_000499.png,STOP,"0.93168, 0.06823, 4e-05, 5e-05",STOP,"0.93048, 0.06943, 4e-05, 5e-05",False,,,,,,,,,0.01501,,
town7_000500.png,STOP,"0.93119, 0.06875, 2e-05, 5e-05",STOP,"0.93119, 0.06875, 2e-05, 5e-05",False,,,,,,,,,0.00926,,
town7_000503.png,STOP,"0.93627, 0.06366, 2e-05, 5e-05",STOP,"0.92937, 0.07055, 3e-05, 5e-05",False,,,,,,,,,0.01269,,
town7_000505.png,STOP,"0.94612, 0.05385, 1e-05, 2e-05",STOP,"0.94612, 0.05385, 1e-05, 2e-05",False,,,,,,,,,0.00894,,
town7_000507.png,STOP,"0.92977, 0.07014, 3e-05, 5e-05",STOP,"0.92977, 0.07014, 3e-05, 5e-05",False,,,,,,,,,0.0093,,
town7_000508.png,STOP,"0.93011, 0.06982, 2e-05, 4e-05",STOP,"0.93011, 0.06982, 2e-05, 4e-05",False,,,,,,,,,0.00973,,
town7_000511.png,STOP,"0.93064, 0.06929, 3e-05, 4e-05",STOP,"0.93064, 0.06929, 3e-05, 4e-05",False,,,,,,,,,0.01397,,
town7_000518.png,STOP,"0.94437, 0.0556, 1e-05, 2e-05",STOP,"0.94437, 0.0556, 1e-05, 2e-05",False,,,,,,,,,0.00869,,
town7_000519.png,STOP,"0.93042, 0.06946, 5e-05, 7e-05",STOP,"0.94031, 0.05964, 1e-05, 3e-05",False,,,,,,,,,0.01309,,
town7_000524.png,STOP,"0.9314, 0.0685, 3e-05, 8e-05",STOP,"0.90638, 0.09341, 8e-05, 0.00013",False,,,,,,,,,0.01275,,
town7_000530.png,STOP,"0.946, 0.05394, 3e-05, 3e-05",STOP,"0.946, 0.05394, 3e-05, 3e-05",False,,,,,,,,,0.01022,,
town7_000535.png,STOP,"0.9243, 0.07555, 4e-05, 0.00011",STOP,"0.9243, 0.07555, 4e-05, 0.00011",False,,,,,,,,,0.00927,,
town7_000537.png,STOP,"0.48988, 0.48123, 0.00648, 0.02241",STOP,"0.48988, 0.48123, 0.00648, 0.02241",False,,,,,,,,,0.01068,,
town7_000538.png,GO,"0.09356, 0.55098, 0.23788, 0.11758",GO,"0.41884, 0.49285, 0.07302, 0.01529",False,,,,,,,,,0.01377,,
town7_000548.png,RIGHT,"0.00019, 0.01689, 0.97873, 0.00419",RIGHT,"5e-05, 0.02727, 0.97116, 0.00152",False,,,,,,,,,0.01327,,
town7_000549.png,RIGHT,"0.00059, 0.0168, 0.83422, 0.14839",RIGHT,"0.00059, 0.0168, 0.83422, 0.14839",False,,,,,,,,,0.01143,,
town7_000560.png,GO,"0.00022, 0.97627, 0.02036, 0.00316",GO,"0.00022, 0.97627, 0.02036, 0.00316",False,,,,,,,,,0.00795,,
town7_000562.png,GO,"0.00027, 0.96836, 0.02552, 0.00585",GO,"0.00027, 0.96836, 0.02552, 0.00585",False,,,,,,,,,0.00911,,
town7_000566.png,GO,"0.00039, 0.96795, 0.02662, 0.00503",GO,"0.00039, 0.96795, 0.02662, 0.00503",False,,,,,,,,,0.00912,,
town7_000567.png,GO,"0.00089, 0.98088, 0.01364, 0.00459",GO,"0.00089, 0.98088, 0.01364, 0.00459",False,,,,,,,,,0.00864,,
town7_000569.png,GO,"0.00081, 0.95173, 0.04421, 0.00325",GO,"0.00081, 0.95173, 0.04421, 0.00325",False,,,,,,,,,0.01343,,
town7_000587.png,RIGHT,"0.0, 0.01868, 0.98078, 0.00054",RIGHT,"0.0, 0.01868, 0.98078, 0.00054",False,,,,,,,,,0.00866,,
town7_000588.png,RIGHT,"0.0, 0.00747, 0.99203, 0.0005",RIGHT,"0.0, 0.00747, 0.99203, 0.0005",False,,,,,,,,,0.00888,,
town7_000592.png,RIGHT,"0.00022, 0.03937, 0.93889, 0.02153",RIGHT,"2e-05, 0.08597, 0.78941, 0.1246",False,,,,,,,,,0.01711,,
town7_000595.png,GO,"8e-05, 0.79435, 0.0527, 0.15288",RIGHT,"0.0, 0.01323, 0.98651, 0.00026",True,,,0.60219,1189.04109,17.37883,0.78367,0.19739,,0.11854,128.0,20.45333
town7_000597.png,GO,"0.00011, 0.96261, 0.01471, 0.02256",RIGHT,"0.0, 0.02511, 0.97418, 0.00071",True,,,0.61843,1088.77128,17.76144,0.78626,0.20511,,0.12718,128.0,20.70916
town7_000602.png,GO,"0.00135, 0.89889, 0.07897, 0.02079",GO,"0.00135, 0.89889, 0.07897, 0.02079",False,,,,,,,,,0.01053,,
town7_000603.png,GO,"0.00119, 0.94934, 0.0309, 0.01857",GO,"0.00119, 0.94934, 0.0309, 0.01857",False,,,,,,,,,0.00868,,
town7_000604.png,GO,"0.00131, 0.94673, 0.03207, 0.01988",GO,"0.00131, 0.94673, 0.03207, 0.01988",False,,,,,,,,,0.00804,,
town7_000615.png,GO,"0.0038, 0.89409, 0.09481, 0.0073",GO,"0.0038, 0.89409, 0.09481, 0.0073",False,,,,,,,,,0.00975,,
town7_000616.png,GO,"0.0048, 0.93249, 0.05211, 0.0106",GO,"0.0048, 0.93249, 0.05211, 0.0106",False,,,,,,,,,0.00923,,
town7_000621.png,GO,"0.00129, 0.97581, 0.01303, 0.00987",GO,"0.00129, 0.97581, 0.01303, 0.00987",False,,,,,,,,,0.00856,,
town7_000628.png,GO,"0.00192, 0.98118, 0.00675, 0.01015",GO,"0.00018, 0.63995, 0.35443, 0.00545",False,,,,,,,,,0.01224,,
town7_000633.png,GO,"0.07469, 0.89648, 0.00047, 0.02836",GO,"0.07469, 0.89648, 0.00047, 0.02836",False,,,,,,,,,0.00971,,
town7_000647.png,GO,"0.00897, 0.96178, 0.01844, 0.01081",GO,"0.00246, 0.93876, 0.05042, 0.00836",False,,,,,,,,,0.01277,,
town7_000655.png,RIGHT,"0.00016, 0.05243, 0.94406, 0.00336",RIGHT,"0.00016, 0.05243, 0.94406, 0.00336",False,,,,,,,,,0.00992,,
town7_000659.png,RIGHT,"5e-05, 0.03837, 0.95962, 0.00195",RIGHT,"5e-05, 0.03837, 0.95962, 0.00195",False,,,,,,,,,0.00956,,
town7_000661.png,GO,"8e-05, 0.98801, 0.00807, 0.00385",GO,"8e-05, 0.98801, 0.00807, 0.00385",False,,,,,,,,,0.0097,,
town7_000664.png,GO,"0.00078, 0.98834, 0.00712, 0.00376",GO,"0.00078, 0.98834, 0.00712, 0.00376",False,,,,,,,,,0.01408,,
town7_000668.png,GO,"0.0001, 0.99466, 0.00204, 0.00321",GO,"0.0001, 0.99466, 0.00204, 0.00321",False,,,,,,,,,0.01504,,
town7_000671.png,GO,"0.00202, 0.99095, 0.00288, 0.00415",GO,"0.00202, 0.99095, 0.00288, 0.00415",False,,,,,,,,,0.01015,,
town7_000688.png,STOP,"0.65871, 0.33829, 0.00074, 0.00225",GO,"0.31095, 0.68632, 0.00051, 0.00222",True,,,0.74977,312.8369,23.17762,0.98026,0.26204,,0.1181,128.0,8.67559
town7_000691.png,STOP,"0.87131, 0.1286, 2e-05, 7e-05",GO,"0.31478, 0.6696, 0.01089, 0.00473",True,,,0.72298,712.61568,19.60225,0.96122,0.27912,,0.12217,128.0,13.4524
town7_000692.png,STOP,"0.85958, 0.14004, 6e-05, 0.00032",GO,"0.18617, 0.77988, 0.02688, 0.00707",True,,,0.71044,711.67648,19.60798,0.96217,0.27245,,0.12064,128.0,13.38951
town7_000695.png,STOP,"0.8196, 0.17959, 0.00021, 0.0006",GO,"0.16239, 0.7742, 0.05344, 0.00997",True,,,0.69587,748.51805,19.38878,0.96022,0.2608,,0.11765,128.0,13.22976
town7_000702.png,STOP,"0.84109, 0.1583, 0.00018, 0.00043",GO,"0.11026, 0.83548, 0.04748, 0.00678",True,,,0.69058,753.07219,19.36244,0.96016,0.25693,,0.12788,128.0,13.31069
town7_000704.png,STOP,"0.8575, 0.14217, 6e-05, 0.00027",GO,"0.07479, 0.85893, 0.05527, 0.01101",True,,,0.69171,752.39589,19.36634,0.96014,0.25577,,0.11685,128.0,13.35916
town7_000728.png,GO,"0.00052, 0.98628, 0.00596, 0.00724",GO,"0.00052, 0.98628, 0.00596, 0.00724",False,,,,,,,,,0.00846,,
town7_000736.png,GO,"0.0001, 0.99215, 0.00208, 0.00567",GO,"0.0001, 0.99215, 0.00208, 0.00567",False,,,,,,,,,0.00911,,
town7_000740.png,GO,"4e-05, 0.92456, 0.0579, 0.01751",GO,"4e-05, 0.92456, 0.0579, 0.01751",False,,,,,,,,,0.00871,,
town7_000743.png,GO,"0.00016, 0.99468, 0.00173, 0.00343",GO,"0.00016, 0.99468, 0.00173, 0.00343",False,,,,,,,,,0.00918,,
town7_000751.png,GO,"0.00244, 0.92949, 0.05811, 0.00996",GO,"0.00244, 0.92949, 0.05811, 0.00996",False,,,,,,,,,0.00879,,
town7_000770.png,STOP,"0.93347, 0.06647, 2e-05, 4e-05",STOP,"0.93347, 0.06647, 2e-05, 4e-05",False,,,,,,,,,0.00895,,
town7_000774.png,STOP,"0.92068, 0.07921, 3e-05, 8e-05",STOP,"0.92068, 0.07921, 3e-05, 8e-05",False,,,,,,,,,0.00904,,
town7_000780.png,STOP,"0.91622, 0.08365, 6e-05, 7e-05",STOP,"0.91622, 0.08365, 6e-05, 7e-05",False,,,,,,,,,0.00925,,
town7_000784.png,STOP,"0.93778, 0.06215, 2e-05, 5e-05",STOP,"0.93778, 0.06215, 2e-05, 5e-05",False,,,,,,,,,0.00904,,
town7_000792.png,STOP,"0.92442, 0.07542, 5e-05, 0.0001",STOP,"0.92442, 0.07542, 5e-05, 0.0001",False,,,,,,,,,0.0128,,
town7_000796.png,STOP,"0.93737, 0.06259, 1e-05, 3e-05",STOP,"0.93737, 0.06259, 1e-05, 3e-05",False,,,,,,,,,0.00826,,
town7_000798.png,STOP,"0.91755, 0.08239, 2e-05, 5e-05",STOP,"0.91755, 0.08239, 2e-05, 5e-05",False,,,,,,,,,0.00894,,
town7_000800.png,STOP,"0.94212, 0.05783, 2e-05, 3e-05",STOP,"0.94212, 0.05783, 2e-05, 3e-05",False,,,,,,,,,0.01125,,
town7_000804.png,STOP,"0.9218, 0.07813, 2e-05, 5e-05",STOP,"0.9218, 0.07813, 2e-05, 5e-05",False,,,,,,,,,0.01043,,
town7_000813.png,STOP,"0.68852, 0.30777, 0.00148, 0.00224",STOP,"0.68852, 0.30777, 0.00148, 0.00224",False,,,,,,,,,0.00859,,
town7_000814.png,GO,"0.0861, 0.81007, 0.07444, 0.02939",GO,"0.0861, 0.81007, 0.07444, 0.02939",False,,,,,,,,,0.00854,,
town7_000815.png,RIGHT,"0.00492, 0.16907, 0.80522, 0.02079",RIGHT,"0.00492, 0.16907, 0.80522, 0.02079",False,,,,,,,,,0.00942,,
town7_000821.png,RIGHT,"1e-05, 0.01433, 0.98511, 0.00055",RIGHT,"2e-05, 0.01888, 0.98065, 0.00044",False,,,,,,,,,0.01265,,
